date,nav
2019-08-13,1000000.0
2019-08-14,1000000.0
2019-08-15,999814.1245305209
2019-08-16,1000861.53718796
2019-08-19,1001692.6333886506
2019-08-20,1003011.1295893411
2019-08-21,1000800.8625028385
2019-08-22,1006631.0921709824
2019-08-23,1009560.8417135432
2019-08-26,1007683.7327367975
2019-08-27,1025820.1830158608
2019-08-28,1024904.9816226094
2019-08-29,1029634.0523742368
2019-08-30,1037704.0872942369
2019-09-02,1062367.7576307394
2019-09-03,1066402.6828365547
2019-09-04,1069611.1932630572
2019-09-05,1075104.2366037476
2019-09-06,1073989.017257245
2019-09-09,1093522.555321187
2019-09-10,1087953.405621187
2019-09-11,1071277.6149179356
2019-09-12,1075744.5187087476
2019-09-16,1078070.1644220022
2019-09-17,1048548.6559073665
2019-09-18,1046772.5380199272
2019-09-19,1055895.0548517685
2019-09-20,1063648.8583867794
2019-09-23,1061782.3164667615
2019-09-24,1065278.0083767616
2019-09-25,1045645.4388807671
2019-09-26,1032127.3212165183
2019-09-27,1035426.1860965183
2019-09-30,1030525.9270465183
2019-10-08,1025752.6101365183
2019-10-09,1028504.4327665183
2019-10-10,1028334.5538377346
2019-10-11,1032585.4104500037
2019-10-14,1036306.1466345827
2019-10-15,1037119.7738715014
2019-10-16,1035960.5330161252
2019-10-17,1035423.757808439
2019-10-18,1032575.1556700037
2019-10-21,1035043.9441899813
2019-10-22,1034284.3169530664
2019-10-23,1033904.503334605
2019-10-24,1035059.6299957096
2019-10-25,1039496.4596880234
2019-10-28,1042150.3893511083
2019-10-29,1041731.3235265033
2019-10-30,1040213.6576080457
2019-10-31,1039465.1145318152
2019-11-01,1043832.9711440842
2019-11-04,1044782.505190228
2019-11-05,1047061.386900977
2019-11-06,1048200.8277563495
2019-11-07,1050668.423123104
2019-11-08,1050076.9997846687
2019-11-11,1034174.4474985471
2019-11-12,1035081.0277754623
2019-11-13,1046220.1412093184
2019-11-14,1048616.6923556738
2019-11-15,1043789.5583556737
2019-11-18,1046270.5955556736
2019-11-19,1052478.7377556737
2019-11-20,1051164.3199556735
2019-11-21,1048859.6236622655
2019-11-22,1031700.2675422657
2019-11-25,1018096.8172222658
2019-11-26,1022449.5947822657
2019-11-27,1029185.0821022656
2019-11-28,1026525.8427149145
2019-11-29,1025521.6499823162
2019-12-02,1026098.6981654649
2019-12-03,1027849.5390812152
2019-12-04,1031690.9172790099
2019-12-05,1035697.1297095347
2019-12-06,1039258.239903234
2019-12-09,1042596.4973432339
2019-12-10,1050858.914922133
2019-12-11,1047114.9257095347
2019-12-12,1053679.64580604
2019-12-13,1069827.6186060302
2019-12-16,1089316.84292625
2019-12-17,1101759.4593347358
2019-12-18,1108037.9467684075
2019-12-19,1102517.2243157232
2019-12-20,1090846.0333344613
2019-12-23,1063468.7509488363
2019-12-24,1092167.9310540801
2019-12-25,1107830.5851005493
