open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1.037,1.061,1.002,1.056,180321568,159566.SZ,2024-02-08,NA,NA,CNY
1.057,1.057,1.035,1.051,33096375,159566.SZ,2024-02-19,NA,NA,CNY
1.047,1.047,1.022,1.039,20462368,159566.SZ,2024-02-20,NA,NA,CNY
1.038,1.086,1.009,1.061,8454453,159566.SZ,2024-02-21,NA,NA,CNY
1.06,1.072,1.052,1.064,4819079,159566.SZ,2024-02-22,NA,NA,CNY
1.064,1.084,1.062,1.08,3765530,159566.SZ,2024-02-23,NA,NA,CNY
1.079,1.087,1.062,1.075,2896829,159566.SZ,2024-02-26,NA,NA,CNY
1.07,1.093,1.07,1.093,1953620,159566.SZ,2024-02-27,NA,NA,CNY
1.1,1.202,1.079,1.079,11091707,159566.SZ,2024-02-28,NA,NA,CNY
1.07,1.12,1.03,1.119,3306503,159566.SZ,2024-02-29,NA,NA,CNY
1.12,1.136,1.11,1.133,3875511,159566.SZ,2024-03-01,NA,NA,CNY
1.14,1.153,1.13,1.138,7793101,159566.SZ,2024-03-04,NA,NA,CNY
1.134,1.134,1.116,1.125,2065200,159566.SZ,2024-03-05,NA,NA,CNY
1.126,1.16,1.114,1.143,6460105,159566.SZ,2024-03-06,NA,NA,CNY
1.145,1.145,1.111,1.111,2012800,159566.SZ,2024-03-07,NA,NA,CNY
1.116,1.146,1.116,1.144,2485900,159566.SZ,2024-03-08,NA,NA,CNY
1.178,1.258,1.167,1.235,18257349,159566.SZ,2024-03-11,NA,NA,CNY
1.234,1.234,1.209,1.219,18131866,159566.SZ,2024-03-12,NA,NA,CNY
1.219,1.223,1.2,1.217,7904700,159566.SZ,2024-03-13,NA,NA,CNY
1.216,1.223,1.195,1.203,7494403,159566.SZ,2024-03-14,NA,NA,CNY
1.203,1.203,1.173,1.19,7071706,159566.SZ,2024-03-15,NA,NA,CNY
1.201,1.224,1.201,1.224,9449219,159566.SZ,2024-03-18,NA,NA,CNY
1.229,1.236,1.209,1.211,6680100,159566.SZ,2024-03-19,NA,NA,CNY
1.212,1.226,1.206,1.22,3887200,159566.SZ,2024-03-20,NA,NA,CNY
1.22,1.221,1.201,1.204,4464600,159566.SZ,2024-03-21,NA,NA,CNY
1.204,1.208,1.18,1.182,3330400,159566.SZ,2024-03-22,NA,NA,CNY
1.183,1.192,1.164,1.164,3154300,159566.SZ,2024-03-25,NA,NA,CNY
1.164,1.196,1.161,1.187,4259700,159566.SZ,2024-03-26,NA,NA,CNY
1.187,1.188,1.142,1.144,4621000,159566.SZ,2024-03-27,NA,NA,CNY
1.143,1.173,1.143,1.159,4863101,159566.SZ,2024-03-28,NA,NA,CNY
1.166,1.19,1.155,1.168,3150000,159566.SZ,2024-03-29,NA,NA,CNY
1.169,1.218,1.169,1.218,6185300,159566.SZ,2024-04-01,NA,NA,CNY
1.221,1.234,1.209,1.231,6633437,159566.SZ,2024-04-02,NA,NA,CNY
1.23,1.23,1.203,1.207,4982400,159566.SZ,2024-04-03,NA,NA,CNY
1.207,1.21,1.175,1.175,4458400,159566.SZ,2024-04-08,NA,NA,CNY
1.175,1.201,1.175,1.2,5098700,159566.SZ,2024-04-09,NA,NA,CNY
1.202,1.202,1.171,1.178,5399300,159566.SZ,2024-04-10,NA,NA,CNY
1.16,1.187,1.158,1.176,2916600,159566.SZ,2024-04-11,NA,NA,CNY
1.17,1.174,1.144,1.146,5868900,159566.SZ,2024-04-12,NA,NA,CNY
1.115,1.172,1.115,1.148,5441802,159566.SZ,2024-04-15,NA,NA,CNY
1.147,1.148,1.105,1.106,4615502,159566.SZ,2024-04-16,NA,NA,CNY
1.119,1.136,1.108,1.136,3812400,159566.SZ,2024-04-17,NA,NA,CNY
1.137,1.145,1.08,1.13,3596100,159566.SZ,2024-04-18,NA,NA,CNY
1.13,1.13,1.096,1.104,4309600,159566.SZ,2024-04-19,NA,NA,CNY
1.104,1.116,1.091,1.099,1387900,159566.SZ,2024-04-22,NA,NA,CNY
1.109,1.125,1.097,1.108,1985600,159566.SZ,2024-04-23,NA,NA,CNY
1.098,1.105,1.087,1.102,1257400,159566.SZ,2024-04-24,NA,NA,CNY
1.106,1.127,1.096,1.12,2611006,159566.SZ,2024-04-25,NA,NA,CNY
1.12,1.139,1.109,1.135,4328900,159566.SZ,2024-04-26,NA,NA,CNY
1.134,1.198,1.134,1.189,7760300,159566.SZ,2024-04-29,NA,NA,CNY
1.187,1.188,1.166,1.17,3552800,159566.SZ,2024-04-30,NA,NA,CNY
1.181,1.202,1.181,1.198,3620200,159566.SZ,2024-05-06,NA,NA,CNY
1.198,1.204,1.192,1.199,4321407,159566.SZ,2024-05-07,NA,NA,CNY
1.198,1.198,1.174,1.174,2366900,159566.SZ,2024-05-08,NA,NA,CNY
1.173,1.218,1.173,1.213,5809503,159566.SZ,2024-05-09,NA,NA,CNY
1.205,1.218,1.193,1.203,4478210,159566.SZ,2024-05-10,NA,NA,CNY
1.2,1.201,1.178,1.19,4318400,159566.SZ,2024-05-13,NA,NA,CNY
1.195,1.199,1.178,1.18,5977300,159566.SZ,2024-05-14,NA,NA,CNY
1.182,1.204,1.175,1.176,2230000,159566.SZ,2024-05-15,NA,NA,CNY
1.176,1.19,1.163,1.176,2663400,159566.SZ,2024-05-16,NA,NA,CNY
1.176,1.187,1.15,1.187,2572001,159566.SZ,2024-05-17,NA,NA,CNY
1.178,1.192,1.178,1.186,1576000,159566.SZ,2024-05-20,NA,NA,CNY
1.186,1.186,1.173,1.177,1491300,159566.SZ,2024-05-21,NA,NA,CNY
1.186,1.208,1.179,1.201,4248302,159566.SZ,2024-05-22,NA,NA,CNY
1.199,1.199,1.176,1.183,3165900,159566.SZ,2024-05-23,NA,NA,CNY
1.181,1.193,1.12,1.165,1162300,159566.SZ,2024-05-24,NA,NA,CNY
1.169,1.185,1.156,1.175,954100,159566.SZ,2024-05-27,NA,NA,CNY
1.174,1.177,1.161,1.164,629400,159566.SZ,2024-05-28,NA,NA,CNY
1.162,1.225,1.146,1.173,3269400,159566.SZ,2024-05-29,NA,NA,CNY
