日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-05,0.998,1.024,1.029,0.985,3222990,328027072.0,4.37,1.69,0.017,4.63
2021-03-08,1.033,1.017,1.055,1.015,1418532,147353652.0,3.91,-0.68,-0.007,2.04
2021-03-09,1.014,1.0,1.022,0.982,893763,90112162.0,3.93,-1.67,-0.017,1.28
2021-03-10,1.003,0.969,1.019,0.967,504122,49656737.0,5.2,-3.1,-0.031,0.72
2021-03-11,0.966,0.995,1.001,0.962,511297,50445107.0,4.02,2.68,0.026,0.73
2021-03-12,0.991,0.973,0.991,0.97,340027,33182609.0,2.11,-2.21,-0.022,0.49
2021-03-15,0.972,0.929,0.972,0.928,558781,52482538.0,4.52,-4.52,-0.044,0.8
2021-03-16,0.925,0.939,0.942,0.925,276991,25880225.0,1.83,1.08,0.01,0.4
2021-03-17,0.939,0.944,0.946,0.93,277561,26053057.0,1.7,0.53,0.005,0.4
2021-03-18,0.944,0.941,0.949,0.937,276710,26083058.0,1.27,-0.32,-0.003,0.4
2021-03-19,0.931,0.922,0.942,0.918,342419,31719869.0,2.55,-2.02,-0.019,0.49
2021-03-22,0.92,0.93,0.931,0.917,135412,12552795.0,1.52,0.87,0.008,0.19
2021-03-23,0.931,0.933,0.94,0.922,282445,26314173.0,1.94,0.32,0.003,0.41
2021-03-24,0.932,0.938,0.94,0.926,205959,19206147.0,1.5,0.54,0.005,0.3
2021-03-25,0.939,0.94,0.95,0.928,223575,20994972.0,2.35,0.21,0.002,0.32
2021-03-26,0.936,0.942,0.948,0.931,231497,21729045.0,1.81,0.21,0.002,0.33
2021-03-29,0.94,0.933,0.94,0.932,246838,23066676.0,0.85,-0.96,-0.009,0.35
2021-03-30,0.932,0.923,0.932,0.922,165404,15304076.0,1.07,-1.07,-0.01,0.24
2021-03-31,0.924,0.929,0.932,0.923,287649,26719426.0,0.98,0.65,0.006,0.41
2021-04-01,0.927,0.929,0.93,0.921,108229,10015579.0,0.97,0.0,0.0,0.16
2021-04-02,0.93,0.937,0.937,0.926,188576,17605156.0,1.18,0.86,0.008,0.27
2021-04-06,0.936,0.952,0.954,0.933,438651,41579000.0,2.24,1.6,0.015,0.63
2021-04-07,0.948,0.95,0.952,0.941,370562,35094479.0,1.16,-0.21,-0.002,0.53
2021-04-08,0.948,0.943,0.955,0.938,496226,47024118.0,1.79,-0.74,-0.007,0.71
2021-04-09,0.939,0.942,0.946,0.936,477361,44936530.0,1.06,-0.11,-0.001,0.69
2021-04-12,0.94,0.917,0.942,0.915,563884,51981383.0,2.87,-2.65,-0.025,0.81
2021-04-13,0.919,0.919,0.927,0.916,312464,28800705.0,1.2,0.22,0.002,0.45
2021-04-14,0.923,0.929,0.93,0.918,248501,22994407.0,1.31,1.09,0.01,0.36
2021-04-15,0.93,0.924,0.93,0.92,336596,31143586.0,1.08,-0.54,-0.005,0.48
2021-04-16,0.926,0.937,0.941,0.925,433506,40645462.0,1.73,1.41,0.013,0.62
2021-04-19,0.937,0.947,0.948,0.932,385555,36383703.0,1.71,1.07,0.01,0.55
2021-04-20,0.947,0.957,0.971,0.942,412845,39680219.0,3.06,1.06,0.01,0.59
2021-04-21,0.955,0.951,0.957,0.951,314831,30012236.0,0.63,-0.63,-0.006,0.45
2021-04-22,0.951,0.956,0.958,0.948,385246,36778706.0,1.05,0.53,0.005,0.55
2021-04-23,0.961,0.957,0.964,0.954,350433,33529683.0,1.05,0.1,0.001,0.5
2021-04-26,0.953,0.943,0.957,0.943,362163,34494170.0,1.46,-1.46,-0.014,0.52
2021-04-27,0.941,0.937,0.951,0.934,295350,27694034.0,1.8,-0.64,-0.006,0.42
2021-04-28,0.936,0.939,0.943,0.929,278444,26137335.0,1.49,0.21,0.002,0.4
2021-04-29,0.95,0.943,0.95,0.934,310209,29225307.0,1.7,0.43,0.004,0.45
2021-04-30,0.942,0.929,0.948,0.922,476058,44152700.0,2.76,-1.48,-0.014,0.68
2021-05-06,0.928,0.917,0.928,0.912,418889,38423287.0,1.72,-1.29,-0.012,0.6
2021-05-07,0.918,0.917,0.921,0.912,306504,28101334.0,0.98,0.0,0.0,0.44
2021-05-10,0.917,0.915,0.923,0.911,319375,29249435.0,1.31,-0.22,-0.002,0.46
2021-05-11,0.915,0.912,0.918,0.9,405344,36828553.0,1.97,-0.33,-0.003,0.58
2021-05-12,0.908,0.934,0.935,0.904,502872,46416566.0,3.4,2.41,0.022,0.72
2021-05-13,0.93,0.935,0.945,0.926,398765,37404503.0,2.03,0.11,0.001,0.57
2021-05-14,0.936,0.939,0.945,0.935,262292,24621062.0,1.07,0.43,0.004,0.38
2021-05-17,0.947,0.939,0.947,0.934,299912,28192394.0,1.38,0.0,0.0,0.43
2021-05-18,0.937,0.941,0.944,0.933,314046,29498345.0,1.17,0.21,0.002,0.45
2021-05-19,0.94,0.939,0.944,0.931,274438,25782463.0,1.38,-0.21,-0.002,0.39
2021-05-20,0.936,0.953,0.957,0.928,460822,43299248.0,3.09,1.49,0.014,0.66
2021-05-21,0.947,0.946,0.962,0.94,340639,32457878.0,2.31,-0.73,-0.007,0.49
2021-05-24,0.945,0.953,0.953,0.939,307043,29146509.0,1.48,0.74,0.007,0.44
2021-05-25,0.955,0.965,0.966,0.952,511485,49190133.0,1.47,1.26,0.012,0.74
2021-05-26,0.963,0.965,0.975,0.96,529598,51224495.0,1.55,0.0,0.0,0.76
2021-05-27,0.966,0.978,0.98,0.963,366679,35786847.0,1.76,1.35,0.013,0.53
2021-05-28,0.978,0.974,0.986,0.967,406432,39492365.0,1.94,-0.41,-0.004,0.58
2021-05-31,0.968,0.977,0.98,0.964,389627,38021845.0,1.64,0.31,0.003,0.56
2021-06-01,0.978,0.978,0.982,0.972,378760,37035333.0,1.02,0.1,0.001,0.54
2021-06-02,0.98,0.97,0.985,0.968,321846,31368706.0,1.74,-0.82,-0.008,0.46
2021-06-03,0.973,0.98,0.995,0.973,336798,33206476.0,2.27,1.03,0.01,0.48
2021-06-04,0.984,0.988,0.992,0.98,345596,34123381.0,1.22,0.82,0.008,0.5
2021-06-07,0.989,1.003,1.004,0.987,444771,44337273.0,1.72,1.52,0.015,0.64
2021-06-08,1.004,1.015,1.017,0.993,711973,71973087.0,2.39,1.2,0.012,1.02
2021-06-09,1.016,1.018,1.02,1.012,489210,49720645.0,0.79,0.3,0.003,0.7
2021-06-10,1.018,1.025,1.027,1.018,472602,48401006.0,0.88,0.69,0.007,0.68
2021-06-11,1.025,1.009,1.028,1.007,400759,40828720.0,2.05,-1.56,-0.016,0.58
2021-06-15,1.007,1.003,1.01,0.997,352345,35401316.0,1.29,-0.59,-0.006,0.51
2021-06-16,1.003,0.985,1.003,0.982,344663,34089578.0,2.09,-1.79,-0.018,0.5
2021-06-17,0.985,0.981,0.988,0.975,318331,31214965.0,1.32,-0.41,-0.004,0.46
2021-06-18,0.977,0.988,0.989,0.969,327035,32088800.0,2.04,0.71,0.007,0.47
2021-06-21,0.983,1.01,1.01,0.982,459835,46123193.0,2.83,2.23,0.022,0.66
2021-06-22,1.01,0.999,1.015,0.994,354993,35495280.0,2.08,-1.09,-0.011,0.51
2021-06-23,0.999,1.007,1.01,0.991,339817,34096117.0,1.9,0.8,0.008,0.49
2021-06-24,1.007,0.991,1.007,0.99,287514,28593480.0,1.69,-1.59,-0.016,0.41
2021-06-25,0.991,0.985,0.993,0.977,304391,29966036.0,1.61,-0.61,-0.006,0.44
2021-06-28,0.985,0.99,0.994,0.981,347683,34391968.0,1.32,0.51,0.005,0.5
2021-06-29,0.99,0.981,0.996,0.979,239814,23657219.0,1.72,-0.91,-0.009,0.34
2021-06-30,0.984,0.975,0.984,0.968,213245,20746503.0,1.63,-0.61,-0.006,0.31
2021-07-01,0.974,0.962,0.978,0.962,239817,23291403.0,1.64,-1.33,-0.013,0.34
2021-07-02,0.962,0.968,0.977,0.961,274904,26639525.0,1.66,0.62,0.006,0.4
2021-07-05,0.961,0.957,0.972,0.952,270151,25992687.0,2.07,-1.14,-0.011,0.39
2021-07-06,0.957,0.959,0.962,0.943,280286,26748056.0,1.99,0.21,0.002,0.4
2021-07-07,0.957,0.96,0.96,0.951,268490,25673226.0,0.94,0.1,0.001,0.39
2021-07-08,0.958,0.944,0.959,0.939,305643,28892007.0,2.08,-1.67,-0.016,0.44
2021-07-09,0.937,0.946,0.954,0.937,236323,22353407.0,1.8,0.21,0.002,0.34
2021-07-12,0.943,0.956,0.958,0.935,264999,25160827.0,2.43,1.06,0.01,0.38
2021-07-13,0.955,0.966,0.976,0.952,294912,28545559.0,2.51,1.05,0.01,0.42
2021-07-14,0.966,0.961,0.972,0.957,309168,29742247.0,1.55,-0.52,-0.005,0.44
2021-07-15,0.96,0.947,0.96,0.935,230531,21747027.0,2.6,-1.46,-0.014,0.33
2021-07-16,0.948,0.959,0.962,0.942,265651,25363999.0,2.11,1.27,0.012,0.38
2021-07-19,0.959,0.948,0.961,0.939,252116,23827327.0,2.29,-1.15,-0.011,0.36
2021-07-20,0.941,0.944,0.945,0.937,178038,16763168.0,0.84,-0.42,-0.004,0.26
2021-07-21,0.946,0.946,0.954,0.944,231079,21919372.0,1.06,0.21,0.002,0.33
2021-07-22,0.945,0.947,0.95,0.939,209318,19790288.0,1.16,0.11,0.001,0.3
2021-07-23,0.947,0.923,0.949,0.922,310683,28833889.0,2.85,-2.53,-0.024,0.45
2021-07-26,0.921,0.874,0.921,0.869,379598,33753161.0,5.63,-5.31,-0.049,0.55
2021-07-27,0.874,0.85,0.884,0.849,193413,16724909.0,4.0,-2.75,-0.024,0.28
2021-07-28,0.85,0.832,0.857,0.826,239823,20054921.0,3.65,-2.12,-0.018,0.34
2021-07-29,0.84,0.847,0.849,0.84,127227,10747128.0,1.08,1.8,0.015,0.18
2021-07-30,0.847,0.85,0.853,0.836,162968,13790911.0,2.01,0.35,0.003,0.23
2021-08-02,0.855,0.867,0.868,0.842,235276,20158841.0,3.06,2.0,0.017,0.34
2021-08-03,0.855,0.846,0.862,0.845,287737,24538060.0,1.96,-2.42,-0.021,0.41
2021-08-04,0.84,0.845,0.847,0.816,354932,29893633.0,3.66,-0.12,-0.001,0.51
2021-08-05,0.845,0.826,0.845,0.824,211778,17569907.0,2.49,-2.25,-0.019,0.3
2021-08-06,0.826,0.818,0.829,0.811,263000,21493098.0,2.18,-0.97,-0.008,0.38
2021-08-09,0.818,0.832,0.833,0.816,204568,16915574.0,2.08,1.71,0.014,0.29
2021-08-10,0.832,0.838,0.838,0.825,160478,13356770.0,1.56,0.72,0.006,0.23
2021-08-11,0.836,0.836,0.847,0.832,216340,18157627.0,1.79,-0.24,-0.002,0.31
2021-08-12,0.837,0.837,0.848,0.835,154556,12976982.0,1.56,0.12,0.001,0.22
2021-08-13,0.838,0.828,0.838,0.823,131542,10891502.0,1.79,-1.08,-0.009,0.19
2021-08-16,0.828,0.828,0.835,0.824,129316,10737988.0,1.33,0.0,0.0,0.19
2021-08-17,0.828,0.814,0.832,0.811,171350,14025615.0,2.54,-1.69,-0.014,0.25
2021-08-18,0.813,0.822,0.822,0.805,126038,10213321.0,2.09,0.98,0.008,0.18
2021-08-19,0.819,0.825,0.831,0.818,136965,11331077.0,1.58,0.36,0.003,0.2
2021-08-20,0.825,0.81,0.825,0.8,97751,7911016.0,3.03,-1.82,-0.015,0.14
2021-08-23,0.805,0.823,0.825,0.805,80182,6567636.0,2.47,1.6,0.013,0.12
2021-08-24,0.818,0.82,0.824,0.817,77944,6388726.0,0.85,-0.36,-0.003,0.11
2021-08-25,0.825,0.84,0.844,0.823,142136,11904178.0,2.56,2.44,0.02,0.2
2021-08-26,0.838,0.825,0.838,0.824,67297,5571719.0,1.67,-1.79,-0.015,0.1
2021-08-27,0.82,0.821,0.825,0.818,44393,3641969.0,0.85,-0.48,-0.004,0.06
2021-08-30,0.815,0.82,0.823,0.814,81645,6680977.0,1.1,-0.12,-0.001,0.12
2021-08-31,0.805,0.811,0.819,0.801,189118,15304879.0,2.2,-1.1,-0.009,0.27
2021-09-01,0.809,0.863,0.865,0.809,486560,41250018.0,6.91,6.41,0.052,0.7
2021-09-02,0.859,0.855,0.869,0.851,219425,18837600.0,2.09,-0.93,-0.008,0.32
