open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
0.812,0.816,0.801,0.808,538131257,512690.SH,2022-06-01,NA,NA,CNY
0.802,0.81,0.8,0.802,591225137,512690.SH,2022-06-02,NA,NA,CNY
0.804,0.816,0.788,0.815,867765890,512690.SH,2022-06-06,NA,NA,CNY
0.815,0.835,0.81,0.826,1141668812,512690.SH,2022-06-07,NA,NA,CNY
0.825,0.849,0.823,0.84,963920385,512690.SH,2022-06-08,NA,NA,CNY
0.838,0.849,0.824,0.825,566349531,512690.SH,2022-06-09,NA,NA,CNY
0.818,0.839,0.816,0.837,586744824,512690.SH,2022-06-10,NA,NA,CNY
0.828,0.831,0.813,0.821,657294746,512690.SH,2022-06-13,NA,NA,CNY
0.812,0.834,0.808,0.833,579604208,512690.SH,2022-06-14,NA,NA,CNY
0.834,0.851,0.824,0.838,951895177,512690.SH,2022-06-15,NA,NA,CNY
0.843,0.855,0.834,0.838,647100226,512690.SH,2022-06-16,NA,NA,CNY
0.831,0.861,0.829,0.86,837824836,512690.SH,2022-06-17,NA,NA,CNY
0.863,0.886,0.853,0.875,763608581,512690.SH,2022-06-20,NA,NA,CNY
0.87,0.886,0.864,0.87,733397591,512690.SH,2022-06-21,NA,NA,CNY
0.873,0.875,0.855,0.857,531756570,512690.SH,2022-06-22,NA,NA,CNY
0.858,0.87,0.852,0.866,606095340,512690.SH,2022-06-23,NA,NA,CNY
0.868,0.886,0.864,0.882,783596424,512690.SH,2022-06-24,NA,NA,CNY
0.888,0.911,0.887,0.901,777029312,512690.SH,2022-06-27,NA,NA,CNY
0.902,0.909,0.893,0.908,529334094,512690.SH,2022-06-28,NA,NA,CNY
0.904,0.913,0.892,0.897,777046700,512690.SH,2022-06-29,NA,NA,CNY
0.901,0.944,0.899,0.933,1016811541,512690.SH,2022-06-30,NA,NA,CNY
0.934,0.938,0.913,0.926,839274535,512690.SH,2022-07-01,NA,NA,CNY
0.919,0.924,0.906,0.922,679133724,512690.SH,2022-07-04,NA,NA,CNY
0.922,0.931,0.902,0.913,797940929,512690.SH,2022-07-05,NA,NA,CNY
0.908,0.911,0.88,0.888,1025737902,512690.SH,2022-07-06,NA,NA,CNY
0.885,0.892,0.871,0.887,763849195,512690.SH,2022-07-07,NA,NA,CNY
0.892,0.902,0.885,0.891,692259128,512690.SH,2022-07-08,NA,NA,CNY
0.881,0.883,0.862,0.871,742441293,512690.SH,2022-07-11,NA,NA,CNY
0.867,0.878,0.856,0.863,740422164,512690.SH,2022-07-12,NA,NA,CNY
0.864,0.875,0.86,0.87,640645404,512690.SH,2022-07-13,NA,NA,CNY
0.866,0.873,0.857,0.863,712097400,512690.SH,2022-07-14,NA,NA,CNY
0.861,0.888,0.857,0.866,996519916,512690.SH,2022-07-15,NA,NA,CNY
0.862,0.867,0.841,0.861,830693649,512690.SH,2022-07-18,NA,NA,CNY
0.858,0.865,0.851,0.862,611863200,512690.SH,2022-07-19,NA,NA,CNY
0.865,0.874,0.864,0.868,767947846,512690.SH,2022-07-20,NA,NA,CNY
0.862,0.87,0.856,0.857,533276705,512690.SH,2022-07-21,NA,NA,CNY
0.864,0.867,0.849,0.853,540764305,512690.SH,2022-07-22,NA,NA,CNY
0.852,0.865,0.844,0.863,623644300,512690.SH,2022-07-25,NA,NA,CNY
0.864,0.88,0.863,0.871,666671200,512690.SH,2022-07-26,NA,NA,CNY
0.868,0.868,0.855,0.856,596297500,512690.SH,2022-07-27,NA,NA,CNY
0.859,0.866,0.852,0.854,586434517,512690.SH,2022-07-28,NA,NA,CNY
0.85,0.851,0.821,0.825,1068250157,512690.SH,2022-07-29,NA,NA,CNY
0.824,0.845,0.824,0.838,811195679,512690.SH,2022-08-01,NA,NA,CNY
0.829,0.839,0.821,0.826,627895300,512690.SH,2022-08-02,NA,NA,CNY
0.83,0.838,0.822,0.825,517565099,512690.SH,2022-08-03,NA,NA,CNY
0.828,0.842,0.824,0.841,596311155,512690.SH,2022-08-04,NA,NA,CNY
0.841,0.847,0.834,0.844,587786190,512690.SH,2022-08-05,NA,NA,CNY
0.839,0.849,0.835,0.839,467124658,512690.SH,2022-08-08,NA,NA,CNY
0.836,0.84,0.831,0.838,375350321,512690.SH,2022-08-09,NA,NA,CNY
0.837,0.843,0.821,0.825,727995888,512690.SH,2022-08-10,NA,NA,CNY
0.829,0.84,0.826,0.84,698952088,512690.SH,2022-08-11,NA,NA,CNY
0.838,0.852,0.836,0.849,785606300,512690.SH,2022-08-12,NA,NA,CNY
0.844,0.852,0.837,0.839,635298201,512690.SH,2022-08-15,NA,NA,CNY
0.841,0.845,0.833,0.834,523421001,512690.SH,2022-08-16,NA,NA,CNY
0.836,0.844,0.826,0.842,590633499,512690.SH,2022-08-17,NA,NA,CNY
0.837,0.838,0.823,0.828,966847806,512690.SH,2022-08-18,NA,NA,CNY
0.825,0.834,0.821,0.824,533040156,512690.SH,2022-08-19,NA,NA,CNY
0.822,0.831,0.817,0.828,517659400,512690.SH,2022-08-22,NA,NA,CNY
0.826,0.829,0.812,0.815,795232600,512690.SH,2022-08-23,NA,NA,CNY
0.814,0.82,0.806,0.808,707232791,512690.SH,2022-08-24,NA,NA,CNY
0.811,0.827,0.809,0.826,919552262,512690.SH,2022-08-25,NA,NA,CNY
0.832,0.853,0.832,0.839,1122497467,512690.SH,2022-08-26,NA,NA,CNY
