open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1.064,1.065,1.044,1.047,209483000,513160.SH,2025-05-30,NA,NA,CNY
1.046,1.054,1.043,1.045,169725500,513160.SH,2025-06-03,NA,NA,CNY
1.045,1.057,1.045,1.052,237503800,513160.SH,2025-06-04,NA,NA,CNY
1.061,1.08,1.06,1.079,397002200,513160.SH,2025-06-05,NA,NA,CNY
1.08,1.084,1.073,1.081,291040800,513160.SH,2025-06-06,NA,NA,CNY
1.087,1.114,1.087,1.109,358851000,513160.SH,2025-06-09,NA,NA,CNY
1.115,1.116,1.089,1.098,300142000,513160.SH,2025-06-10,NA,NA,CNY
1.103,1.12,1.103,1.117,319546500,513160.SH,2025-06-11,NA,NA,CNY
1.103,1.11,1.097,1.099,260594200,513160.SH,2025-06-12,NA,NA,CNY
1.089,1.094,1.071,1.072,218637700,513160.SH,2025-06-13,NA,NA,CNY
1.07,1.095,1.07,1.093,236058800,513160.SH,2025-06-16,NA,NA,CNY
1.097,1.106,1.093,1.097,228537900,513160.SH,2025-06-17,NA,NA,CNY
1.09,1.093,1.077,1.084,166666300,513160.SH,2025-06-18,NA,NA,CNY
1.079,1.086,1.056,1.06,192892300,513160.SH,2025-06-19,NA,NA,CNY
1.065,1.074,1.064,1.066,235515000,513160.SH,2025-06-20,NA,NA,CNY
1.061,1.084,1.057,1.084,220701900,513160.SH,2025-06-23,NA,NA,CNY
1.095,1.111,1.091,1.108,261343100,513160.SH,2025-06-24,NA,NA,CNY
1.111,1.122,1.109,1.122,258813900,513160.SH,2025-06-25,NA,NA,CNY
1.115,1.129,1.109,1.116,244519500,513160.SH,2025-06-26,NA,NA,CNY
1.133,1.139,1.124,1.129,308179472,513160.SH,2025-06-27,NA,NA,CNY
1.129,1.141,1.128,1.134,315772800,513160.SH,2025-06-30,NA,NA,CNY
1.129,1.133,1.129,1.131,65374500,513160.SH,2025-07-01,NA,NA,CNY
1.136,1.138,1.11,1.112,258129600,513160.SH,2025-07-02,NA,NA,CNY
