日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-06,0.894,0.879,0.896,0.875,6569791,658212153.0,2.33,-2.33,-0.021,174.71
2023-06-07,0.881,0.883,0.889,0.878,2042972,203505683.0,1.25,0.46,0.004,54.33
2023-06-08,0.884,0.893,0.896,0.879,2072951,207557835.0,1.93,1.13,0.01,55.13
2023-06-09,0.894,0.896,0.897,0.89,1898788,191057613.0,0.78,0.34,0.003,50.49
2023-06-12,0.899,0.894,0.899,0.891,1265239,127322307.0,0.89,-0.22,-0.002,33.65
2023-06-13,0.892,0.888,0.894,0.882,1118894,111574059.0,1.34,-0.67,-0.006,29.75
2023-06-14,0.883,0.887,0.892,0.883,755041,75398629.0,1.01,-0.11,-0.001,20.08
2023-06-15,0.886,0.884,0.888,0.88,779958,77579567.0,0.9,-0.34,-0.003,20.74
2023-06-16,0.885,0.895,0.899,0.885,1439750,144850769.0,1.58,1.24,0.011,38.29
2023-06-19,0.896,0.888,0.896,0.885,789706,78852407.0,1.23,-0.78,-0.007,21.0
2023-06-20,0.886,0.874,0.886,0.874,1458685,144569246.0,1.35,-1.58,-0.014,38.79
2023-06-21,0.874,0.875,0.884,0.873,689455,68198062.0,1.26,0.11,0.001,18.33
2023-06-26,0.874,0.862,0.874,0.86,1132004,110778759.0,1.6,-1.49,-0.013,30.1
2023-06-27,0.861,0.885,0.888,0.86,918143,90834625.0,3.25,2.67,0.023,24.42
2023-06-28,0.883,0.888,0.889,0.877,638513,63550366.0,1.36,0.34,0.003,16.98
2023-06-29,0.885,0.886,0.89,0.882,1069110,106503828.0,0.9,-0.23,-0.002,28.43
2023-06-30,0.882,0.891,0.893,0.882,740425,74127936.0,1.24,0.56,0.005,19.69
2023-07-03,0.89,0.909,0.911,0.89,1868580,189714403.0,2.36,2.02,0.018,49.69
2023-07-04,0.903,0.904,0.911,0.9,738737,75184062.0,1.21,-0.55,-0.005,19.65
2023-07-05,0.9,0.904,0.909,0.899,787545,79859098.0,1.11,0.0,0.0,20.94
2023-07-06,0.899,0.896,0.903,0.895,579641,58515568.0,0.88,-0.88,-0.008,15.41
2023-07-07,0.894,0.901,0.905,0.893,659927,66726511.0,1.34,0.56,0.005,17.55
2023-07-10,0.899,0.902,0.907,0.898,585665,59329024.0,1.0,0.11,0.001,15.57
2023-07-11,0.902,0.901,0.905,0.898,595694,60334522.0,0.78,-0.11,-0.001,15.84
2023-07-12,0.909,0.893,0.909,0.892,602519,60881054.0,1.89,-0.89,-0.008,16.02
2023-07-13,0.896,0.901,0.901,0.895,552883,55854192.0,0.67,0.9,0.008,14.7
2023-07-14,0.901,0.9,0.907,0.897,677429,68588924.0,1.11,-0.11,-0.001,18.01
2023-07-17,0.9,0.898,0.9,0.891,687254,69104638.0,1.0,-0.22,-0.002,18.28
2023-07-18,0.898,0.897,0.899,0.892,541848,54514122.0,0.78,-0.11,-0.001,14.41
2023-07-19,0.897,0.9,0.903,0.895,504802,50967367.0,0.89,0.33,0.003,13.42
2023-07-20,0.899,0.893,0.903,0.892,591967,59768793.0,1.22,-0.78,-0.007,15.74
2023-07-21,0.892,0.89,0.895,0.887,560901,56155253.0,0.9,-0.34,-0.003,14.92
2023-07-24,0.893,0.89,0.894,0.884,445516,44577364.0,1.12,0.0,0.0,11.85
2023-07-25,0.895,0.91,0.91,0.894,827408,84216244.0,1.8,2.25,0.02,22.0
2023-07-26,0.906,0.907,0.913,0.902,518584,52750146.0,1.21,-0.33,-0.003,13.79
2023-07-27,0.905,0.905,0.915,0.904,730300,74641160.0,1.21,-0.22,-0.002,19.42
2023-07-28,0.905,0.923,0.923,0.902,889839,91360013.0,2.32,1.99,0.018,23.66
2023-07-31,0.922,0.932,0.939,0.922,746553,78026083.0,1.84,0.98,0.009,19.85
2023-08-01,0.932,0.937,0.942,0.932,740361,77484219.0,1.07,0.54,0.005,19.69
2023-08-02,0.936,0.927,0.936,0.925,582146,60564545.0,1.17,-1.07,-0.01,15.48
2023-08-03,0.927,0.931,0.932,0.919,441909,45777327.0,1.4,0.43,0.004,11.75
2023-08-04,0.933,0.933,0.943,0.932,569846,59686458.0,1.18,0.21,0.002,15.15
2023-08-07,0.933,0.923,0.933,0.92,558918,57792123.0,1.39,-1.07,-0.01,14.86
2023-08-08,0.919,0.923,0.925,0.917,652675,67353506.0,0.87,0.0,0.0,17.36
2023-08-09,0.922,0.916,0.922,0.915,621197,63861376.0,0.76,-0.76,-0.007,16.52
2023-08-10,0.922,0.919,0.923,0.914,609041,62691100.0,0.98,0.33,0.003,16.2
2023-08-11,0.917,0.899,0.919,0.899,696333,71039683.0,2.18,-2.18,-0.02,18.52
