open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
0.741,0.762,0.741,0.761,30257300,516510.SH,2022-06-06,NA,NA,CNY
0.76,0.763,0.751,0.759,34313000,516510.SH,2022-06-07,NA,NA,CNY
0.756,0.775,0.756,0.767,33313400,516510.SH,2022-06-08,NA,NA,CNY
0.766,0.766,0.741,0.743,26876600,516510.SH,2022-06-09,NA,NA,CNY
0.743,0.753,0.738,0.752,26624100,516510.SH,2022-06-10,NA,NA,CNY
0.738,0.756,0.738,0.753,28102400,516510.SH,2022-06-13,NA,NA,CNY
0.745,0.75,0.72,0.746,38725700,516510.SH,2022-06-14,NA,NA,CNY
0.744,0.768,0.742,0.758,36609100,516510.SH,2022-06-15,NA,NA,CNY
0.76,0.769,0.759,0.76,30634800,516510.SH,2022-06-16,NA,NA,CNY
0.76,0.763,0.745,0.759,44669600,516510.SH,2022-06-17,NA,NA,CNY
0.76,0.77,0.76,0.768,30305100,516510.SH,2022-06-20,NA,NA,CNY
0.767,0.772,0.76,0.769,28683100,516510.SH,2022-06-21,NA,NA,CNY
0.769,0.771,0.745,0.746,27612500,516510.SH,2022-06-22,NA,NA,CNY
0.749,0.769,0.746,0.767,28768500,516510.SH,2022-06-23,NA,NA,CNY
0.768,0.781,0.768,0.776,33620500,516510.SH,2022-06-24,NA,NA,CNY
0.776,0.782,0.773,0.776,28801500,516510.SH,2022-06-27,NA,NA,CNY
0.777,0.786,0.765,0.784,32010500,516510.SH,2022-06-28,NA,NA,CNY
0.784,0.797,0.776,0.784,34908900,516510.SH,2022-06-29,NA,NA,CNY
0.782,0.784,0.773,0.782,31725600,516510.SH,2022-06-30,NA,NA,CNY
0.781,0.785,0.771,0.772,25043600,516510.SH,2022-07-01,NA,NA,CNY
0.775,0.78,0.767,0.776,30778200,516510.SH,2022-07-04,NA,NA,CNY
0.775,0.78,0.754,0.762,31929600,516510.SH,2022-07-05,NA,NA,CNY
0.761,0.767,0.751,0.757,31650800,516510.SH,2022-07-06,NA,NA,CNY
0.757,0.759,0.749,0.756,24533600,516510.SH,2022-07-07,NA,NA,CNY
0.754,0.767,0.751,0.756,25020400,516510.SH,2022-07-08,NA,NA,CNY
0.757,0.763,0.733,0.739,32409200,516510.SH,2022-07-11,NA,NA,CNY
0.74,0.74,0.726,0.728,27075500,516510.SH,2022-07-12,NA,NA,CNY
0.733,0.734,0.726,0.73,24697000,516510.SH,2022-07-13,NA,NA,CNY
0.726,0.739,0.726,0.733,29262400,516510.SH,2022-07-14,NA,NA,CNY
0.733,0.738,0.721,0.721,20832800,516510.SH,2022-07-15,NA,NA,CNY
0.72,0.742,0.72,0.742,32757700,516510.SH,2022-07-18,NA,NA,CNY
0.742,0.764,0.742,0.764,35565900,516510.SH,2022-07-19,NA,NA,CNY
0.768,0.773,0.764,0.771,30323600,516510.SH,2022-07-20,NA,NA,CNY
0.771,0.778,0.766,0.767,30790300,516510.SH,2022-07-21,NA,NA,CNY
0.761,0.772,0.752,0.757,39879400,516510.SH,2022-07-22,NA,NA,CNY
0.757,0.76,0.747,0.751,33383600,516510.SH,2022-07-25,NA,NA,CNY
0.75,0.764,0.75,0.763,34345500,516510.SH,2022-07-26,NA,NA,CNY
0.765,0.768,0.76,0.765,29417300,516510.SH,2022-07-27,NA,NA,CNY
0.773,0.784,0.769,0.771,31905600,516510.SH,2022-07-28,NA,NA,CNY
0.768,0.775,0.757,0.758,32962000,516510.SH,2022-07-29,NA,NA,CNY
0.756,0.765,0.749,0.763,36607300,516510.SH,2022-08-01,NA,NA,CNY
0.764,0.768,0.725,0.736,39396800,516510.SH,2022-08-02,NA,NA,CNY
0.736,0.761,0.736,0.745,47305500,516510.SH,2022-08-03,NA,NA,CNY
0.745,0.757,0.745,0.752,47513400,516510.SH,2022-08-04,NA,NA,CNY
0.753,0.795,0.753,0.795,54500800,516510.SH,2022-08-05,NA,NA,CNY
0.801,0.801,0.79,0.797,39949100,516510.SH,2022-08-08,NA,NA,CNY
0.796,0.797,0.782,0.789,39129700,516510.SH,2022-08-09,NA,NA,CNY
0.783,0.792,0.78,0.784,38125600,516510.SH,2022-08-10,NA,NA,CNY
0.783,0.801,0.783,0.8,41621700,516510.SH,2022-08-11,NA,NA,CNY
0.795,0.798,0.788,0.788,35363200,516510.SH,2022-08-12,NA,NA,CNY
0.788,0.796,0.776,0.783,29121900,516510.SH,2022-08-15,NA,NA,CNY
0.781,0.784,0.77,0.774,36841500,516510.SH,2022-08-16,NA,NA,CNY
0.77,0.78,0.767,0.78,32997800,516510.SH,2022-08-17,NA,NA,CNY
0.78,0.78,0.77,0.775,36048400,516510.SH,2022-08-18,NA,NA,CNY
0.771,0.784,0.764,0.765,48822400,516510.SH,2022-08-19,NA,NA,CNY
0.786,0.786,0.752,0.769,31811100,516510.SH,2022-08-22,NA,NA,CNY
0.768,0.773,0.765,0.77,34496100,516510.SH,2022-08-23,NA,NA,CNY
0.767,0.768,0.737,0.742,35750100,516510.SH,2022-08-24,NA,NA,CNY
0.743,0.743,0.729,0.737,36041900,516510.SH,2022-08-25,NA,NA,CNY
0.737,0.746,0.733,0.736,32863200,516510.SH,2022-08-26,NA,NA,CNY
0.731,0.732,0.722,0.729,37416600,516510.SH,2022-08-29,NA,NA,CNY
0.731,0.736,0.727,0.735,34265800,516510.SH,2022-08-30,NA,NA,CNY
0.733,0.738,0.723,0.728,41012500,516510.SH,2022-08-31,NA,NA,CNY
0.728,0.745,0.728,0.736,41701700,516510.SH,2022-09-01,NA,NA,CNY
0.736,0.744,0.734,0.74,35238200,516510.SH,2022-09-02,NA,NA,CNY
0.734,0.745,0.73,0.737,38620400,516510.SH,2022-09-05,NA,NA,CNY
0.739,0.739,0.731,0.738,34160900,516510.SH,2022-09-06,NA,NA,CNY
0.739,0.742,0.732,0.739,37073700,516510.SH,2022-09-07,NA,NA,CNY
0.74,0.743,0.73,0.732,30041500,516510.SH,2022-09-08,NA,NA,CNY
0.731,0.74,0.729,0.739,32977100,516510.SH,2022-09-09,NA,NA,CNY
0.738,0.75,0.738,0.739,32732600,516510.SH,2022-09-13,NA,NA,CNY
0.732,0.742,0.729,0.74,33073400,516510.SH,2022-09-14,NA,NA,CNY
0.743,0.747,0.724,0.728,33886500,516510.SH,2022-09-15,NA,NA,CNY
0.727,0.746,0.727,0.727,37825200,516510.SH,2022-09-16,NA,NA,CNY
0.727,0.729,0.707,0.711,39220600,516510.SH,2022-09-19,NA,NA,CNY
0.717,0.717,0.705,0.708,30781500,516510.SH,2022-09-20,NA,NA,CNY
0.708,0.713,0.692,0.709,32492100,516510.SH,2022-09-21,NA,NA,CNY
