ticker,first_date,last_date,data_days,covers_2019,covers_2022
159530.SZ,2024-01-18,2026-06-18,582,False,False
159697.SZ,2023-05-04,2026-06-18,758,False,False
159865.SZ,2022-06-06,2026-06-18,980,False,False
159928.SZ,2019-06-03,2026-06-18,1709,True,True
159996.SZ,2022-06-06,2026-06-18,980,False,False
511010.SH,2019-06-03,2026-06-18,1709,True,True
512000.SH,2019-06-03,2026-06-18,1709,True,True
512010.SH,2019-06-03,2026-06-18,1709,True,True
512400.SH,2019-06-03,2026-06-18,1709,True,True
512480.SH,2019-06-12,2026-06-18,1703,True,True
512660.SH,2019-06-03,2026-06-18,1709,True,True
512800.SH,2019-06-03,2026-06-18,1709,True,True
512980.SH,2019-06-03,2026-06-18,1709,True,True
515230.SH,2021-03-02,2026-06-18,1285,False,True
515880.SH,2019-09-06,2026-06-18,1641,False,True
516110.SH,2021-05-07,2026-06-18,1241,False,True
516160.SH,2021-02-04,2026-06-18,1298,False,True
518880.SH,2019-06-03,2026-06-18,1709,True,True
