date,group,period,ic,pvalue
2019-08-15,A,5,0.8928571428571429,0.006807187408935393
2019-08-22,A,5,-0.5714285714285715,0.1389599571607067
2019-08-29,A,5,0.261904761904762,0.530922861565801
2019-09-05,A,5,-0.261904761904762,0.530922861565801
2019-09-12,A,5,0.2142857142857143,0.6103444156452669
2019-09-19,A,5,0.023809523809523815,0.9553740118158807
2019-09-26,A,5,0.2380952380952381,0.5701563208157683
2019-10-10,A,5,-0.4047619047619048,0.3198886412288162
2019-10-17,A,5,-0.3571428571428572,0.3851206435562562
2019-10-24,A,5,-0.19047619047619052,0.6514014957024814
2019-10-31,A,5,-0.2380952380952381,0.5701563208157683
2019-11-07,A,5,-0.5476190476190477,0.1600256425388966
2019-11-14,A,5,0.30952380952380953,0.4556448907375822
2019-11-21,A,5,0.6904761904761906,0.057990318164572716
2019-11-28,A,5,0.016666666666666666,0.9660548039946861
2019-12-05,A,5,-0.6333333333333333,0.06708578689234565
2019-12-12,A,5,-0.18333333333333335,0.6368198117628943
2019-12-19,A,5,-0.41666666666666663,0.26458604674749614
2019-12-26,A,5,-0.13333333333333333,0.7323675052362975
2020-01-02,A,5,0.16666666666666669,0.668231040071504
2020-01-09,A,5,0.5833333333333334,0.09918581647988323
2020-01-16,A,5,0.41666666666666663,0.26458604674749614
2020-01-23,A,5,-0.5166666666666667,0.1543901209862251
2020-02-06,A,5,-0.09999999999999999,0.797971695234851
2020-02-13,A,5,-0.016666666666666666,0.9660548039946861
2020-02-20,A,5,0.2333333333333333,0.5456987782182727
2020-02-27,A,5,0.41666666666666663,0.26458604674749614
2020-03-05,A,5,-0.25,0.5164895523012262
2020-03-12,A,5,0.09999999999999999,0.797971695234851
2020-03-19,A,5,-0.2333333333333333,0.5456987782182727
2020-03-26,A,5,0.43333333333333335,0.24395243588005167
2020-04-02,A,5,-0.7333333333333334,0.02455415007146968
2020-04-09,A,5,-0.5499999999999999,0.12497678418833198
2020-04-16,A,5,-0.6,0.0876228290414024
2020-04-23,A,5,0.4666666666666666,0.20538635110581185
2020-04-30,A,5,0.11666666666666665,0.7650079429261462
2020-05-07,A,5,-0.6333333333333333,0.06708578689234565
2020-05-14,A,5,0.049999999999999996,0.8983528043506301
2020-05-21,A,5,0.19999999999999998,0.6059012741795533
2020-05-28,A,5,-0.049999999999999996,0.8983528043506301
2020-06-04,A,5,-0.3,0.4328453267094823
2020-06-11,A,5,-0.65,0.05807305801714865
2020-06-18,A,5,-0.049999999999999996,0.8983528043506301
2020-07-02,A,5,0.45,0.2242161074923366
2020-07-09,A,5,0.25,0.5164895523012262
2020-07-16,A,5,-0.33333333333333337,0.38071318167686347
2020-07-23,A,5,0.39999999999999997,0.2861051019083129
2020-07-30,A,5,-0.41666666666666663,0.26458604674749614
2020-08-06,A,5,0.43333333333333335,0.24395243588005167
2020-08-13,A,5,0.31666666666666665,0.4063970144863861
2020-08-20,A,5,0.38333333333333336,0.30849527238037144
2020-08-27,A,5,-0.4666666666666666,0.20538635110581185
2020-09-03,A,5,-0.2833333333333333,0.46003032896571994
2020-09-10,A,5,0.016666666666666666,0.9660548039946861
2020-09-17,A,5,0.38333333333333336,0.30849527238037144
2020-09-24,A,5,0.15,0.7000942309691419
2020-10-15,A,5,0.2833333333333333,0.46003032896571994
