period,regime,scenario,sharpe,sharpe_rank,composite_score,composite_rank,total_return,max_drawdown,days
研究期,弱牛,A,0.4559516606186551,4,0.2,4,0.16361959322565633,-0.14303394679297346,165
研究期,弱牛,B,0.5732678530902484,3,0.6003405560612968,3,0.16366018221237688,-0.14342788195107575,165
研究期,弱牛,C,0.6223367692303745,1,0.9579842274742085,1,0.19451680635209345,-0.14355780995177989,165
研究期,弱牛,D,0.5802453880145194,2,0.6715432506355238,2,0.19672515757448727,-0.17442191392640852,165
研究期,强牛,A,0.340197215095366,4,0.0,4,0.19752738828463334,-0.10963398461781182,60
研究期,强牛,B,0.4466268405083742,3,0.5787882203479778,3,0.2516509929687205,-0.08564592455830335,60
研究期,强牛,C,0.590352242209889,1,0.8968085214420123,1,0.27572570667340246,-0.08583045405012131,60
研究期,强牛,D,0.4614171791210401,2,0.5820332621930657,2,0.31411189770751835,-0.10468815293587065,60
研究期,未知,A,0.0,2,0.5,2,0.0,0.0,2
研究期,未知,B,0.0,2,0.5,2,0.0,0.0,2
研究期,未知,C,0.0,2,0.5,2,0.0,0.0,2
研究期,未知,D,0.0,2,0.5,2,0.0,0.0,2
研究期,熊市,A,1.036161628351149,1,0.7336727118400732,1,0.32833291745550186,-0.1003541234566246,427
研究期,熊市,B,0.8395030763560397,4,0.17809681741310274,4,0.3180741961041429,-0.11390816209112488,427
研究期,熊市,C,0.9208145419018532,2,0.5353809171829822,2,0.36155879589522355,-0.10824850988420054,427
研究期,熊市,D,0.8504888869520254,3,0.32599412689797114,3,0.3942391438523538,-0.13805492652780935,427
研究期,震荡,A,0.2914957604823299,4,0.04927400761273358,4,0.38919691157419045,-0.15126119556495748,169
研究期,震荡,B,0.4368039782341499,2,0.6802672855349354,2,0.3844509535234142,-0.1324052310065279,169
研究期,震荡,C,0.39593155611791164,3,0.6095486896205388,3,0.41174866568277735,-0.13162700958032122,169
研究期,震荡,D,0.4578604506440034,1,0.7980788436263798,1,0.48357075988748877,-0.15576301285177702,169
验证期,弱牛,A,0.501453689574202,3,0.40397520204406373,3,0.406674840530693,-0.09581463191929207,71
验证期,弱牛,B,0.5486151479045946,2,0.44335468239547776,2,0.3463937841225415,-0.09317940935432814,71
验证期,弱牛,C,0.6416478174491317,1,0.8103032012617666,1,0.37422495122916444,-0.09393444832188104,71
验证期,弱牛,D,0.48995355668021223,4,0.29757247106584783,4,0.42554804299894,-0.11484931259581153,71
验证期,强牛,A,1.5222817429420934,1,0.7988798995406943,1,0.3081971442743807,-0.1310566621929897,94
验证期,强牛,B,1.3009193198459923,4,0.24195558784675103,4,0.24862690626577066,-0.11405730871426917,94
验证期,强牛,C,1.4434342956977237,2,0.6467270890272578,2,0.2716971435741782,-0.11310152225368567,94
验证期,强牛,D,1.3760562286449007,3,0.4564685058189357,3,0.3056547173679496,-0.13686426444976973,94
验证期,熊市,A,0.6563656252413652,1,0.8726072211115823,1,0.04442806804389132,-0.17332565394909127,274
验证期,熊市,B,0.6119427850593017,4,0.23684900434969486,4,0.031753757361584256,-0.16203088601567825,274
验证期,熊市,C,0.6222215005199994,3,0.41875503632901456,2,0.035411349634347555,-0.15971872348723526,274
验证期,熊市,D,0.6247781399111074,2,0.30098660357556206,3,0.037275662861441905,-0.19488203111694066,274
验证期,震荡,A,-0.752279456212707,4,0.3129651721705248,4,0.2686814840770335,-0.0342338406499682,45
验证期,震荡,B,-0.5729392378524731,3,0.5170557160465833,3,0.21845660084929364,-0.02954101326083675,45
验证期,震荡,C,-0.4243683250100233,1,0.8513548320263933,1,0.2430678248300029,-0.029310996903992085,45
验证期,震荡,D,-0.5546776884760786,2,0.5887684801708509,2,0.2666998245033527,-0.036495803604522335,45
观察期,弱牛,A,2.972236973075587,3,0.39178975319783516,3,0.6372917502026623,-0.08641143328004598,79
观察期,弱牛,B,3.124562000921601,2,0.6283089561948911,2,0.6129996999109815,-0.0816363684584343,79
观察期,弱牛,C,2.796943089205154,4,0.1161774508172172,4,0.6790671544673434,-0.10062792096864583,79
观察期,弱牛,D,3.229947524272863,1,0.8654117232667408,1,0.7661260352105213,-0.09388892057128614,79
观察期,强牛,A,1.6245348090780085,4,0.030099582460727043,4,0.4701252463625649,-0.10299341282941056,61
观察期,强牛,B,1.7928839714124456,2,0.3551251627749669,3,0.4573967729898514,-0.08764129127621924,61
观察期,强牛,C,2.1143452362460473,1,0.865258988115072,1,0.5214243118144528,-0.07995494673236106,61
观察期,强牛,D,1.7825338248295837,3,0.4986775822726903,2,0.5631164568868061,-0.09804552501799219,61
观察期,熊市,A,1.7358632036997055,2,0.2733688189231389,3,0.4606004540633388,-0.07718599723681009,125
观察期,熊市,B,1.708586204793721,4,0.1809487396137795,4,0.4251386819151375,-0.07075012392782479,125
观察期,熊市,C,1.8458894833283737,1,0.9456583193242385,1,0.5112266714353191,-0.06222839358030769,125
观察期,熊市,D,1.730820767178234,3,0.376208299469347,2,0.5182254202445802,-0.08691072464813465,125
观察期,震荡,A,1.302513006937989,2,0.21563012410951032,4,0.6419247469091884,-0.07777579014308755,87
观察期,震荡,B,1.2669677425302461,3,0.34215122118955216,2,0.6046124134503885,-0.0628988731518699,87
观察期,震荡,C,1.5024721979735693,1,0.7153562111798286,1,0.7018943932700199,-0.07485666422756145,87
观察期,震荡,D,1.2137567871659076,4,0.3366476837588855,3,0.7552566221005073,-0.07466926702086243,87
