维度,子维度,样本数,震荡往返,误杀卖飞,有效避损,中性,震荡往返%,误杀卖飞%,有效避损%,中性%,重新买回率%,平均买回收益%,平均佣金
period,研究期,170,72,19,58,21,42.35294117647059,11.176470588235295,34.11764705882353,12.352941176470589,100.0,0.3748483639145553,73.90844798716117
period,验证期,96,25,23,32,16,26.041666666666668,23.958333333333336,33.33333333333333,16.666666666666664,98.95833333333334,0.15193152127333337,89.50550728601392
year,2019,17,8,0,6,3,47.05882352941176,0.0,35.294117647058826,17.647058823529413,100.0,1.88736279118654,62.70934829751847
year,2020,52,23,11,13,5,44.230769230769226,21.153846153846153,25.0,9.615384615384617,100.0,3.1035876653085155,70.2875531992362
year,2021,62,32,3,21,6,51.61290322580645,4.838709677419355,33.87096774193548,9.67741935483871,100.0,-1.0577159908564697,76.06540542603214
year,2022,39,9,5,18,7,23.076923076923077,12.82051282051282,46.15384615384615,17.94871794871795,100.0,-1.6453618653240614,80.18895728167458
year,2023,51,13,8,18,12,25.49019607843137,15.686274509803921,35.294117647058826,23.52941176470588,100.0,-3.304757976205555,86.78062142432512
year,2024,45,12,15,14,4,26.666666666666668,33.33333333333333,31.11111111111111,8.88888888888889,97.77777777777777,4.158548893351136,92.66389771660774
year,2025,56,21,13,9,13,37.5,23.214285714285715,16.071428571428573,23.214285714285715,92.85714285714286,4.883814532896087,118.19595408037934
year,2026,17,2,7,5,3,11.76470588235294,41.17647058823529,29.411764705882355,17.647058823529413,41.17647058823529,1.5699095202915903,147.85411285714284
regime,弱牛,69,19,22,18,10,27.536231884057973,31.88405797101449,26.08695652173913,14.492753623188406,92.7536231884058,1.0846436539834052,90.72991352280027
regime,强牛,57,20,12,13,12,35.08771929824561,21.052631578947366,22.807017543859647,21.052631578947366,91.22807017543859,1.6342464695447096,89.56355441586831
regime,熊市,149,51,21,52,25,34.22818791946309,14.093959731543624,34.899328859060404,16.778523489932887,97.98657718120806,0.6858247037806087,85.84865025020265
regime,震荡,64,30,7,21,6,46.875,10.9375,32.8125,9.375,96.875,1.4286616405781782,84.6887987186208
ticker,159530.SZ,8,1,2,4,1,12.5,25.0,50.0,12.5,87.5,5.23005641911377,114.95347285714284
ticker,159697.SZ,10,2,3,3,2,20.0,30.0,30.0,20.0,90.0,2.05921170749414,105.03146333333332
ticker,159865.SZ,10,2,1,5,2,20.0,10.0,50.0,20.0,100.0,-2.0129211748892337,101.96809199999998
ticker,159928.SZ,24,11,1,6,6,45.83333333333333,4.166666666666666,25.0,25.0,95.83333333333334,0.9237139698724423,79.3829618478261
ticker,159996.SZ,13,3,3,2,5,23.076923076923077,23.076923076923077,15.384615384615385,38.46153846153847,92.3076923076923,2.2259466802827745,98.3455075
ticker,511010.SH,20,9,0,0,11,45.0,0.0,0.0,55.00000000000001,95.0,0.22514721489469133,85.37945052631578
ticker,512000.SH,23,4,6,10,3,17.391304347826086,26.08695652173913,43.47826086956522,13.043478260869565,95.65217391304348,0.4461200385199275,83.50785136363636
ticker,512010.SH,18,6,2,10,0,33.33333333333333,11.11111111111111,55.55555555555556,0.0,94.44444444444444,-1.392360444946994,80.5341034067647
ticker,512400.SH,31,12,8,9,2,38.70967741935484,25.806451612903224,29.03225806451613,6.451612903225806,96.7741935483871,2.245852183947613,86.51712487569533
ticker,512480.SH,23,7,6,10,0,30.434782608695656,26.08695652173913,43.47826086956522,0.0,95.65217391304348,4.031582157358896,85.47167802818181
ticker,512660.SH,27,7,5,13,2,25.925925925925924,18.51851851851852,48.148148148148145,7.4074074074074066,96.29629629629629,2.417800447280368,87.87054230769228
ticker,512800.SH,35,15,5,6,9,42.857142857142854,14.285714285714285,17.142857142857142,25.71428571428571,100.0,0.8962987588999969,89.01321910684132
ticker,512980.SH,19,8,2,8,1,42.10526315789473,10.526315789473683,42.10526315789473,5.263157894736842,94.73684210526315,0.21064045144388002,77.86190333333334
ticker,515230.SH,10,2,4,4,0,20.0,40.0,40.0,0.0,90.0,-8.204527336165663,80.59853999999999
ticker,515880.SH,17,5,5,6,1,29.411764705882355,29.411764705882355,35.294117647058826,5.88235294117647,100.0,2.8629446400001557,87.36120713477303
ticker,516110.SH,15,6,4,2,3,40.0,26.666666666666668,13.333333333333334,20.0,93.33333333333333,-0.26532925428417137,88.87859357142857
ticker,516160.SH,13,7,1,5,0,53.84615384615385,7.6923076923076925,38.46153846153847,0.0,92.3076923076923,-0.0634169721069546,91.64439823599999
ticker,518880.SH,23,13,4,1,5,56.52173913043478,17.391304347826086,4.3478260869565215,21.73913043478261,95.65217391304348,2.057426791980732,82.38686045454544
