date,ticker,action,price,shares,amount,commission,pnl_pct,reason
2019-08-15,512400.SH,BUY,0.63629040973111,314300,199986.07577848787,59.995822733546355,0.0,行业买入
2019-08-15,511010.SH,BUY,115.859,1700,196960.3,59.088089999999994,0.0,防御填充
2019-08-22,512010.SH,BUY,0.4315285,464700,200531.29395,60.15938818499999,0.0,行业买入
2019-08-22,512480.SH,BUY,0.5631752,356000,200490.3712,60.14711135999999,0.0,行业买入
2019-08-22,159928.SZ,BUY,0.725,276600,200535.0,60.16049999999999,0.0,行业买入
2019-08-29,511010.SH,SELL,115.564,1700,196458.8,58.937639999999995,-0.0025461983963265843,调出候选列表
2019-08-29,518880.SH,BUY,3.53,53100,187443.0,56.232899999999994,0.0,防御填充
2019-09-12,159928.SZ,SELL,0.739,276600,204407.4,61.322219999999994,0.019310344827586225,调出候选列表
2019-09-12,518880.SH,SELL,3.395,53100,180274.5,54.08235,-0.038243626062322886,调出候选列表
2019-09-12,512000.SH,BUY,0.4875,430300,209771.25,62.931374999999996,0.0,行业买入
2019-09-19,512400.SH,SELL,0.65782639282971,314300,206754.83526637786,62.02645057991335,0.033846153846167425,调出候选列表
2019-09-19,512980.SH,BUY,0.785,263100,206533.5,61.960049999999995,0.0,行业买入
2019-09-26,512000.SH,SELL,0.463,430300,199228.90000000002,59.76867,-0.050256410256410186,调出候选列表
2019-09-26,512980.SH,SELL,0.771,263100,202850.1,60.85503,-0.017834394904458616,调出候选列表
2019-09-26,511010.SH,BUY,115.609,1700,196535.3,58.96058999999999,0.0,防御填充
2019-10-10,512010.SH,SELL,0.448175,464700,208266.9225,62.48007674999999,0.03857566765578637,调出候选列表
2019-10-10,512480.SH,SELL,0.6130768,356000,218255.3408,65.47660223999999,0.08860759493670885,调出候选列表
2019-10-10,512800.SH,BUY,0.54180472706809,374100,202689.14839617247,60.80674451885174,0.0,行业买入
2019-10-17,511010.SH,SELL,115.657,1700,196616.9,58.98506999999999,0.00041519258881230544,调出候选列表
2019-10-24,512010.SH,BUY,0.4653337,437900,203769.62723,61.130888168999995,0.0,行业买入
2019-10-31,512010.SH,SELL,0.4819802,437900,211059.12958,63.317738874,0.035773252614199245,调出候选列表
2019-11-07,159928.SZ,BUY,0.76625,269500,206504.375,61.95131249999999,0.0,行业买入
2019-11-07,512010.SH,BUY,0.4965779,415900,206526.74861,61.958024583,0.0,行业买入
2019-11-07,512480.SH,BUY,0.6151136,335700,206493.63552,61.948090656,0.0,行业买入
2019-11-14,512800.SH,SELL,0.55731344963421,374100,208490.96150815798,62.54728845244739,0.02862419205909031,调出候选列表
2019-11-14,512480.SH,SELL,0.6252976,335700,209912.40432,62.973721295999994,0.01655629139072843,调出候选列表
2019-11-21,512480.SH,BUY,0.6405736,322900,206841.21544,62.05236463199999,0.0,行业买入
2019-11-21,512980.SH,BUY,0.764,270700,206814.80000000002,62.04444,0.0,行业买入
2019-11-21,511010.SH,BUY,115.986,1600,185577.6,55.67328,0.0,防御填充
2019-11-28,159928.SZ,SELL,0.751,269500,202394.5,60.718349999999994,-0.019902120717781385,调出候选列表
2019-11-28,512010.SH,SELL,0.4873583,415900,202692.31697,60.807695091,-0.018566271273852488,调出候选列表
2019-11-28,512480.SH,SELL,0.633954,322900,204703.7466,61.41112398,-0.010333863275039665,调出候选列表
2019-11-28,512980.SH,SELL,0.748,270700,202483.6,60.745079999999994,-0.02094240837696337,调出候选列表
2019-11-28,512400.SH,BUY,0.62454350985915,324900,202914.18635323783,60.874255905971346,0.0,行业买入
2019-12-05,512480.SH,BUY,0.6690888,304000,203402.9952,61.02089856,0.0,行业买入
2019-12-12,512980.SH,BUY,0.777,265900,206604.30000000002,61.98129,0.0,行业买入
2019-12-12,515880.SH,BUY,0.34988924050633,590500,206609.59651898788,61.98287895569636,0.0,行业买入
2019-12-19,511010.SH,SELL,116.043,1600,185668.80000000002,55.70064,0.000491438621902662,调出候选列表
2019-12-19,518880.SH,BUY,3.291,56100,184625.1,55.38753,0.0,防御填充
2019-12-26,515880.SH,SELL,0.35522088607595,590500,209757.93322784847,62.927379968354536,0.015238095238094355,调出候选列表
2019-12-26,512000.SH,BUY,0.4695,459200,215594.4,64.67832,0.0,行业买入
2020-01-16,518880.SH,SELL,3.413,56100,191469.3,57.44078999999999,0.03707079914919474,调出候选列表
2020-01-16,511010.SH,BUY,117.209,1500,175813.5,52.744049999999994,0.0,防御填充
2020-01-23,512400.SH,SELL,0.72243434212548,324900,234718.91775656844,70.41567532697053,0.1567398119122346,调出候选列表
2020-01-23,512000.SH,SELL,0.488,459200,224089.6,67.22688,0.03940362087326947,调出候选列表
2020-01-23,512010.SH,BUY,0.5065658,463900,234995.87462,70.498762386,0.0,行业买入
2020-01-23,512660.SH,BUY,0.796,295200,234979.2,70.49376,0.0,行业买入
2020-02-03,512660.SH,STOP_LOSS,0.711,295200,209887.19999999998,62.96615999999999,-0.10678391959799004,"固定止损: 成本盈亏-10.68%, 高点回撤-10.68%"
2020-02-06,512980.SH,SELL,0.849,265900,225749.1,67.72473,0.0926640926640926,调出候选列表
2020-02-06,512010.SH,SELL,0.5032365,463900,233451.41235,70.035423705,-0.006572295247724935,调出候选列表
2020-02-13,512010.SH,BUY,0.5127122,446500,228925.9973,68.67779918999999,0.0,行业买入
2020-02-13,512980.SH,BUY,0.933,245300,228864.90000000002,68.65947,0.0,行业买入
2020-02-20,511010.SH,SELL,118.454,200,23690.8,7.107239999999999,0.010622051207671682,防御减持让路
2020-02-20,512660.SH,BUY,0.855,277300,237091.5,71.12745,0.0,行业买入
2020-02-27,512010.SH,SELL,0.5016999,446500,224009.00535,67.20270160499999,-0.02147852147852143,调出候选列表
2020-02-27,511010.SH,SELL,118.636,100,11863.6,5.0,0.012174832990640587,防御减持让路
2020-02-27,515880.SH,BUY,0.43652848101266,552400,241138.3329113934,72.34149987341802,0.0,行业买入
2020-03-05,512480.SH,SELL,1.0178908,304000,309438.8032,92.83164096,0.5213089802130897,调出候选列表
2020-03-05,512980.SH,SELL,0.935,245300,229355.5,68.80664999999999,0.002143622722400859,调出候选列表
2020-03-05,512000.SH,BUY,0.5175,451800,233806.49999999997,70.14194999999998,0.0,行业买入
2020-03-05,159928.SZ,BUY,0.77875,300200,233780.75000000003,70.134225,0.0,行业买入
2020-03-12,512660.SH,SELL,0.846,277300,234595.8,70.37874,-0.010526315789473694,调出候选列表
2020-03-13,512000.SH,STOP_LOSS,0.4655,451800,210312.90000000002,63.09387,-0.1004830917874395,"固定止损: 成本盈亏-10.05%, 高点回撤-10.22%"
2020-03-17,159928.SZ,STOP_LOSS,0.7145,300200,214492.9,64.34786999999999,-0.08250401284109153,"固定止损: 成本盈亏-8.25%, 高点回撤-11.76%"
2020-03-18,515880.SH,STOP_LOSS,0.39754082278481,552400,219601.55050632905,65.8804651518987,-0.08931297709924062,"固定止损: 成本盈亏-8.93%, 高点回撤-12.02%"
2020-03-19,511010.SH,SELL,118.975,1200,142770.0,42.830999999999996,0.01506710235562108,调出候选列表
2020-03-26,511010.SH,BUY,119.628,1800,215330.4,64.59912,0.0,防御填充
2020-04-09,159928.SZ,BUY,0.795,275800,219261.0,65.77829999999999,0.0,行业买入
2020-04-09,512010.SH,BUY,0.5188586,422700,219321.53022,65.796459066,0.0,行业买入
2020-04-23,511010.SH,SELL,122.689,100,12268.9,5.0,0.025587655064031774,防御减持让路
2020-04-23,512400.SH,BUY,0.64216385966709,346800,222702.42653254681,66.81072795976404,0.0,行业买入
2020-04-23,512660.SH,BUY,0.814,273600,222710.4,66.81312,0.0,行业买入
2020-04-30,512400.SH,SELL,0.62454350985915,346800,216591.6892191532,64.97750676574596,-0.027439024390246366,调出候选列表
2020-04-30,512660.SH,SELL,0.794,273600,217238.40000000002,65.17152,-0.024570024570024458,调出候选列表
2020-04-30,512800.SH,BUY,0.50228249859313,438800,220401.56038266546,66.12046811479964,0.0,行业买入
2020-05-07,511010.SH,SELL,123.492,100,12349.2,5.0,0.03230013040425322,防御减持让路
2020-05-07,512480.SH,BUY,0.9832652,224800,221038.01695999998,66.31140508799999,0.0,行业买入
2020-05-14,511010.SH,SELL,122.444,1600,195910.4,58.77311999999999,0.023539639549269423,调出候选列表
2020-05-14,518880.SH,BUY,3.772,51700,195012.4,58.503719999999994,0.0,防御填充
2020-05-28,159928.SZ,SELL,0.8335,275800,229879.30000000002,68.96379,0.04842767295597481,调出候选列表
2020-05-28,512800.SH,SELL,0.49077602701182,438800,215352.52065278662,64.60575619583598,-0.022908366533851192,调出候选列表
2020-05-28,512480.SH,SELL,0.939474,224800,211193.7552,63.358126559999995,-0.04453650958052814,调出候选列表
2020-06-04,512400.SH,BUY,0.66272093444302,332700,220487.25488919276,66.14617646675782,0.0,行业买入
2020-06-04,159928.SZ,BUY,0.86075,256100,220438.075,66.1314225,0.0,行业买入
2020-06-04,512980.SH,BUY,0.868,254000,220472.0,66.1416,0.0,行业买入
2020-06-11,518880.SH,SELL,3.844,51700,198734.8,59.62043999999999,0.019088016967126212,调出候选列表
2020-06-18,512400.SH,SELL,0.68034128425096,332700,226349.5452702944,67.9048635810883,0.02658788774003169,调出候选列表
2020-06-18,515880.SH,BUY,0.37521455696203,610500,229068.4870253193,68.72054610759578,0.0,行业买入
2020-07-02,518880.SH,BUY,3.901,48900,190758.9,57.227669999999996,0.0,防御填充
2020-07-30,512980.SH,SELL,1.01,254000,256540.0,76.96199999999999,0.16359447004608296,调出候选列表
2020-07-30,515880.SH,SELL,0.41886740506329,610500,255718.55079113855,76.71556523734156,0.11634103019536497,调出候选列表
2020-07-30,518880.SH,SELL,4.215,2400,10116.0,5.0,0.08049218149192516,防御减持让路
2020-07-30,512400.SH,BUY,0.84577679078105,314500,265996.8007006402,79.79904021019205,0.0,行业买入
2020-07-30,512660.SH,BUY,1.11,239600,265956.0,79.7868,0.0,行业买入
2020-08-13,512010.SH,SELL,0.7262996,422700,307006.84092000005,92.10205227600001,0.39980256663376135,调出候选列表
2020-08-13,159928.SZ,SELL,1.083,256100,277356.3,83.20688999999999,0.2582050537322102,调出候选列表
2020-08-13,518880.SH,SELL,4.068,46500,189161.99999999997,56.74859999999999,0.042809536016406004,调出候选列表
2020-08-13,512400.SH,SELL,0.82130408271447,314500,258300.1340137008,77.49004020411023,-0.02893518518518361,调出候选列表
2020-08-20,512800.SH,BUY,0.546307259426,482500,263593.252673045,79.07797580191348,0.0,行业买入
2020-08-20,159928.SZ,BUY,1.125,234300,263587.5,79.07624999999999,0.0,行业买入
