buy_date,ticker,entry_rank,signal_date,signal_rank,buy_price,shares,sell_date,pnl,reason,sell_reason
2020-01-23,512010.SH,5,2020-01-23,5,0.507,464700,2020-02-06,-1547.13,行业买入,调出候选列表
2022-05-26,512480.SH,5,2022-05-26,5,0.926,280900,2022-06-16,5898.9,行业买入,调出候选列表
2021-04-29,159928.SZ,5,2021-04-29,5,1.282,190900,2021-05-13,-6681.5,行业买入,调出候选列表
2021-11-25,159928.SZ,5,2021-11-25,5,1.189,228000,2021-12-02,-5928.0,行业买入,调出候选列表
2025-03-06,159928.SZ,5,2025-03-06,5,0.792,410900,2025-04-03,7396.2,行业买入,调出候选列表
2020-06-04,512980.SH,5,2020-06-04,5,0.868,252300,2020-07-30,35826.6,行业买入,调出候选列表
2020-10-15,512800.SH,5,2020-10-15,5,0.536,464000,2020-11-05,10910.14,行业买入,调出候选列表
2021-12-09,512800.SH,5,2021-12-09,5,0.581,464000,2021-12-16,-2785.57,行业买入,调出候选列表
2021-06-24,512660.SH,5,2021-06-24,5,1.168,222800,2021-07-01,-1336.8,行业买入,调出候选列表
2021-11-18,515230.SH,5,2021-11-18,5,1.021,265000,2021-11-25,-5300.0,行业买入,调出候选列表
2021-12-16,515230.SH,5,2021-12-16,5,1.035,258400,2021-12-23,-1292.0,行业买入,调出候选列表
2023-07-13,159865.SZ,5,2023-07-13,5,0.7,423000,2023-08-10,846.0,行业买入,调出候选列表
2023-06-15,159996.SZ,5,2023-06-15,5,1.126,261200,2023-07-13,4440.4,行业买入,调出候选列表
2026-04-30,159996.SZ,5,2026-04-30,5,1.504,303100,2026-05-28,-303.1,行业买入,调出候选列表
2026-01-22,159530.SZ,5,2026-01-22,5,1.68,268900,2026-01-29,-23663.2,行业买入,调出候选列表
2026-04-23,159530.SZ,5,2026-04-23,5,1.492,309600,2026-06-04,8978.4,行业买入,调出候选列表
