year,n_buys,n_sells,n_stop_loss,total_commission,scenario,period
2019,25,20,0,2763.5302402816983,A,研究期
2020,65,61,6,8875.851475824378,A,研究期
2021,72,70,4,10961.024817002315,A,研究期
2022,44,42,2,6961.238580760484,A,研究期
2023,62,62,2,10748.123310276444,A,验证期
2024,53,52,0,9099.428432255441,A,验证期
2019,25,20,0,2763.5302402816983,A,分析期
2020,65,61,6,8875.851475824378,A,分析期
2021,72,70,4,10961.024817002315,A,分析期
2022,44,42,2,6961.238580760484,A,分析期
2023,62,62,2,10748.123310276444,A,分析期
2024,53,52,0,9099.428432255441,A,分析期
2019,18,14,0,1986.5260510314913,B,研究期
2020,38,34,4,5500.519256299929,B,研究期
2021,50,49,4,8182.983491434201,B,研究期
2022,29,27,2,4657.789735061814,B,研究期
2023,39,39,1,6791.422357002869,B,验证期
2024,40,36,0,6661.6162357944595,B,验证期
2019,18,14,0,1986.5260510314913,B,分析期
2020,38,34,4,5500.519256299929,B,分析期
2021,50,49,4,8182.983491434201,B,分析期
2022,29,27,2,4657.789735061814,B,分析期
2023,39,39,1,6791.422357002869,B,分析期
2024,40,36,0,6661.6162357944595,B,分析期
2019,23,18,0,2488.209272990781,C,研究期
2020,46,48,4,6604.490631800046,C,研究期
2021,58,60,4,9505.602421110725,C,研究期
2022,35,37,2,5715.497241897546,C,研究期
2023,49,51,1,8716.45444033829,C,验证期
2024,44,42,0,7589.959037103351,C,验证期
2019,23,18,0,2488.209272990781,C,分析期
2020,46,48,4,6604.490631800046,C,分析期
2021,58,60,4,9505.602421110725,C,分析期
2022,35,37,2,5715.497241897546,C,分析期
2023,49,51,1,8716.45444033829,C,分析期
2024,44,42,0,7589.959037103351,C,分析期
2019,18,14,0,2473.6259721778483,D,研究期
2020,38,34,4,6958.592979720353,D,研究期
2021,50,49,4,10685.409972063037,D,研究期
2022,29,27,2,6110.129492449687,D,研究期
2023,39,39,1,9008.063959021594,D,验证期
2024,40,36,0,8847.196867760238,D,验证期
2019,18,14,0,2473.6259721778483,D,分析期
2020,38,34,4,6958.592979720353,D,分析期
2021,50,49,4,10685.409972063037,D,分析期
2022,29,27,2,6110.129492449687,D,分析期
2023,39,39,1,9008.063959021594,D,分析期
2024,40,36,0,8847.196867760238,D,分析期
