period,pair,observed_diff,rank5_effect,r14_effect,residual,a_top4,b_top4,a_score_rank_1_4,b_score_rank_1_4,defense_effect,b_defense,c_defense,d_top4,d_score_rank_1_4
研究期,B-A,-30804.725378096104,51251.69086731454,-8167.1515502062975,-73889.26469520434,0.4954309733815766,0.4981512239038557,0.4281931258014175,0.3981547078000476,,,,,
研究期,C-B,33283.12614987022,,149.87939431885025,-31048.55403444844,,,,,64181.80078999981,0.0,0.1226168135441578,,
研究期,D-B,76241.88753853599,,76621.15385231533,-379.26631377934245,,0.4981512239038557,,0.3981547078000476,,,,0.6089172671777001,0.4873233562979797
研究期,D-A,45437.16216043988,57835.98012124312,68454.00230210903,-80852.82026291227,0.4954309733815766,,0.4281931258014175,,,,,0.6089172671777001,0.4873233562979797
验证期,B-A,-76264.44077092875,29279.499999999967,-10669.282121658383,-94874.65864927034,0.4582260317518595,0.4619182660061899,0.35048664518483863,0.3330489361502121,,,,,
验证期,C-B,41929.92226734222,,11592.500528464094,-33844.37905112169,,,,,64181.80078999981,0.0,0.16383207517823797,,
验证期,D-B,86430.08895202097,,91841.05856923544,-5410.969617214461,,0.4619182660061899,,0.3330489361502121,,,,0.5646477921901828,0.40790697307651586
验证期,D-A,10165.648181092227,31026.499999999978,81171.77644757705,-102032.6282664848,0.4582260317518595,,0.35048664518483863,,,,,0.5646477921901828,0.40790697307651586
分析期,B-A,-106809.76614902494,80531.1908673145,-18836.433671864914,-168504.52334447452,0.4816534739563409,0.484733663366388,0.39941735180109306,0.3740451489029394,,,,,
分析期,C-B,75156.94841721258,,11742.379922783119,-767.2322955703494,,,,,64181.80078999981,0.0,0.13787938939029,,
分析期,D-B,161383.77649055724,,168462.21242155065,-7078.435930993408,,0.484733663366388,,0.3740451489029394,,,,0.5925236742978544,0.4579143819451193
分析期,D-A,54574.010341532296,88862.48012124308,149625.77874968573,-183914.24852939651,0.4816534739563409,,0.39941735180109306,,,,,0.5925236742978544,0.4579143819451193
