scenario,year,total_pnl,win_rate,hold_days,max_drawdown
A,2019,717.3034327545023,0.3,10,-0.009123135516556734
A,2020,29859.308179015625,0.56,100,-0.13429941071238385
A,2021,-59765.158689926764,0.4074074074074074,108,-0.30435069572804563
A,2022,5701.499999999976,0.4666666666666667,15,-0.09927285139558441
A,2023,-23993.099999999933,0.3783783783783784,74,-0.1863359080744499
A,2025,-8051.800000000025,0.42990654205607476,107,-0.38398878698356637
A,2026,13955.099999999991,0.5131578947368421,76,-0.32521468606989756
B,2020,45189.61047458336,0.6333333333333333,60,-0.13512551239448065
B,2021,-23323.86668542547,0.4473684210526316,38,-0.15151780685126018
B,2022,5898.899999999978,0.4666666666666667,15,-0.10072028047378194
B,2023,5286.400000000033,0.4,40,-0.059516880093943354
B,2025,7396.200000000006,0.42857142857142855,21,-0.06713928903390869
B,2026,-14987.900000000023,0.5192307692307693,52,-0.30492903673662874
C,2020,45572.40193934424,0.6333333333333333,60,-0.13614914857762403
C,2021,-23566.781204277475,0.4473684210526316,38,-0.15323334653976842
C,2022,6010.199999999977,0.4666666666666667,15,-0.1027060262748684
C,2023,5507.100000000035,0.4,40,-0.06205888239433225
C,2025,7839.000000000008,0.42857142857142855,21,-0.07121801519418068
C,2026,-16558.000000000022,0.5192307692307693,52,-0.33879615419224846
D,2020,57046.51666717284,0.6333333333333333,60,-0.14006825309190912
D,2021,-30268.083624086335,0.4473684210526316,38,-0.1638792649672297
D,2022,7570.499999999968,0.4666666666666667,15,-0.10766149773105406
D,2023,7033.400000000045,0.4,40,-0.06726693553701368
D,2025,9550.800000000008,0.42857142857142855,21,-0.07221007619724722
D,2026,-22109.100000000024,0.5192307692307693,52,-0.3496239990960392
