scenario,rank,period,total_pnl,num_days,win_days,avg_daily_pnl,max_drawdown,max_drawdown_rmb,avg_weight
A,1,研究期,-18131.93405000026,584,271,-31.04783227739771,-0.6614929222150326,-153640.97034767398,0.23226396713845662
A,2,研究期,160742.81721961248,655,352,245.40888125131676,-0.6878213837074736,-180910.08047668013,0.26301898248865746
A,3,研究期,156329.3349864089,491,242,318.38968429003853,-0.1984659559520603,-48491.69999999999,0.24433258473666497
A,4,研究期,21842.126288163658,356,177,61.35428732630241,-0.5027803362172101,-113432.77344000005,0.22561099802239493
A,5,研究期,-23487.04707815666,233,110,-100.80277715947064,-0.25116584319683544,-52921.15000000004,0.21070201794328544
A,1,验证期,142477.80113253847,390,182,365.3276952116371,-0.3250728484359301,-78143.35557944146,0.2403872115294275
A,2,验证期,134340.93720955637,334,158,402.2183748789113,-0.2835693626814185,-74142.70000000004,0.26146230784211016
A,3,验证期,64905.57484955162,189,88,343.4157399447176,-0.3768319483242462,-86238.07034327081,0.22885020956096588
A,4,验证期,-19544.04244624796,118,53,-165.62747835803356,-0.14180235301067448,-32265.797223315698,0.22754063341168124
A,5,验证期,-23993.099999999933,74,28,-324.23108108108016,-0.20150460360822525,-40258.99999999998,0.19979196146939363
A,1,分析期,124345.86708253826,974,453,127.66516127570662,-0.710661991411437,-167333.03688949143,0.23546079417748703
A,2,分析期,295083.7544291689,989,510,298.36577798702615,-0.732096449834469,-192169.49506661925,0.26249204610959365
A,3,分析期,221234.9098359606,680,330,325.3454556411185,-0.3254737152716665,-78050.05000000002,0.23980446450139045
A,4,分析期,2298.0838419157044,474,230,4.848278147501486,-0.581538800719073,-131480.7463874253,0.2260910986934135
A,5,分析期,-47480.14707815659,307,138,-154.65845953796935,-0.3957935387205364,-82288.45000000001,0.2079075122499728
A,1,全期间,690586.4037951602,1288,622,536.1695681639443,-0.8217821777277033,-197914.24047464953,0.24083540120314972
A,2,全期间,637674.0788849927,1304,679,489.0138641756079,-0.7120745872544944,-186927.734866619,0.26251145345229304
A,3,全期间,151570.18279035145,770,363,196.84439323422265,-0.32567530800079536,-78050.05000000003,0.23965602574884007
A,4,全期间,92274.78384191572,632,310,146.00440481315778,-0.8192356537620084,-183210.4463874252,0.22363583121181962
A,5,全期间,-41576.84707815663,490,223,-84.85070832276863,-0.5584248569651517,-120651.06800336932,0.2160560485417262
B,1,研究期,-45247.62156888852,632,290,-71.59433792545651,-0.7763993185436029,-182275.9544441295,0.23477088411933322
B,2,研究期,235801.0106667583,627,341,376.07816693262885,-0.4391827785772043,-121257.67790500048,0.2760984351386276
B,3,研究期,122848.79390899334,468,231,262.4974228824644,-0.2210297367273887,-56169.30793395702,0.25412557045767337
B,4,研究期,-786.9901128846432,281,144,-2.800676558308339,-0.28100437294259456,-65509.97491459891,0.23312795537164727
B,5,研究期,27764.64378915788,113,62,245.70481229343255,-0.15866521394993602,-32410.400000000023,0.20426909713320368
B,1,验证期,119745.419441395,426,199,281.09253389998827,-0.32044403476487887,-79697.58025316271,0.2487098263871245
B,2,验证期,115642.57963520629,319,148,362.51592362133636,-0.28357275971276813,-71481.50000000007,0.25207463535074365
B,3,验证期,80451.72464250332,188,85,427.93470554523043,-0.2857606112746889,-65968.63487749663,0.23085279172392287
B,4,验证期,-4328.73509536448,88,40,-49.190171538232725,-0.16054070428158346,-35179.92848825409,0.21913401118852438
B,5,验证期,5286.400000000033,40,16,132.16000000000082,-0.06365298531505476,-13113.000000000013,0.20600761983269647
B,1,分析期,74497.7978725065,1058,489,70.41379761106475,-0.559403265017144,-134377.49356649152,0.2402157834426892
B,2,分析期,351443.59030196455,946,489,371.50485232765806,-0.5456851099501967,-146002.46488805703,0.2675580884026363
B,3,分析期,203300.5185514966,656,316,309.9093270602082,-0.3490819019686061,-86227.02499999997,0.2470108719865821
B,4,分析期,-5115.725208249118,369,184,-13.863753951894628,-0.3837321907680631,-88116.21932932253,0.2296294693258666
B,5,分析期,33051.043789157906,153,78,216.0198940467837,-0.15831488760247037,-32410.400000000023,0.2047211130350718
B,1,全期间,571529.0435399392,1370,660,417.17448433572207,-0.6546217219671219,-159092.83313116233,0.24303017726495899
B,2,全期间,590770.3903019645,1165,605,507.0990474694974,-0.5833264023246006,-155456.8999999998,0.2665007093464175
B,3,全期间,263125.27542861796,833,399,315.87668118681626,-0.45761972638718224,-110297.38519562675,0.24102410546503952
B,4,全期间,50659.87479175089,495,247,102.34318139747654,-0.5535531414304319,-125348.11932932248,0.2264427928372179
B,5,全期间,25459.343789157887,226,114,112.65196366884021,-0.30492903673662874,-67183.20000000003,0.22032404889675053
C,1,研究期,-46437.52498906138,632,290,-73.4770965016794,-0.787133620818116,-184741.45564950065,0.23470151796779765
C,2,研究期,235669.21662036818,627,341,375.8679690914963,-0.44477580803614314,-122574.89496025146,0.27558804401135695
C,3,研究期,124152.09788340938,468,231,265.2822604346354,-0.22167434790626486,-56321.27110198671,0.25407211810453684
C,4,研究期,-618.7172264188739,281,144,-2.2018406634123626,-0.2834486756832811,-66066.25664073271,0.23308013869344585
C,5,研究期,28015.82073506674,113,62,247.9276171244844,-0.16125532993567146,-32907.30000000002,0.20406953378302295
C,1,验证期,124774.90472406363,426,199,292.8988373804311,-0.3348869443012124,-83214.53544303594,0.2484854571344204
C,2,验证期,119535.67866186882,319,148,374.7199958052314,-0.2967373931747768,-74636.40000000011,0.25152340661036826
C,3,验证期,83095.01019049663,188,85,441.99473505583313,-0.29711651025082453,-68505.27860950332,0.23056705449209622
C,4,验证期,-4302.104424224901,88,40,-48.88755027528296,-0.16614884221984716,-36410.857880981705,0.21914602229248806
C,5,验证期,5507.100000000035,40,16,137.67750000000086,-0.06629942937027034,-13661.70000000001,0.20606059704830765
C,1,分析期,78337.37973500232,1058,489,74.04289199905702,-0.5700957010498634,-136871.92191645326,0.24008586920475966
C,2,分析期,355204.8952822371,946,489,375.48086182054664,-0.5553671840460903,-148301.46505566526,0.267033179697844
C,3,分析期,207247.10807390598,656,316,315.9254696248567,-0.3607406973250516,-89061.97499999993,0.24688640804990492
C,4,分析期,-4920.8216506437675,369,184,-13.335560028844899,-0.39028962943798406,-89609.17567835002,0.22959660959320638
C,5,分析期,33522.92073506677,153,78,219.1040570919397,-0.16084729814089518,-32907.30000000002,0.20458721023199697
C,1,全期间,616169.8793199828,1370,660,449.7590359999875,-0.6726260816763677,-163306.42281275094,0.24278931082444316
C,2,全期间,617569.6952822369,1165,605,530.1027427315338,-0.6250875007395706,-166189.59999999963,0.2658661384260169
C,3,全期间,270413.13438444026,833,399,324.6256115059307,-0.4767832304859658,-114896.58361886926,0.24098285399375274
C,4,全期间,55381.37834935625,495,247,111.88157242294193,-0.5932205527707224,-134088.30000000005,0.22603448139772175
C,5,全期间,24803.920735066757,226,114,109.75186165958742,-0.33879615419224846,-74582.90000000002,0.2201409286295448
D,1,研究期,-60519.98199176363,632,290,-95.75946517684118,-0.8215518316312306,-237035.70814644222,0.28852191550202794
D,2,研究期,296323.7640488994,627,341,472.6056842885158,-0.46917304729110354,-158043.50663013433,0.3368554684516532
D,3,研究期,157429.99729662613,468,231,336.388883112449,-0.23269505691786385,-72391.33900928353,0.3110995994849863
D,4,研究期,-3997.432607468163,281,144,-14.22573881661268,-0.30677518236642726,-86966.56884649993,0.28348632433578935
D,5,研究期,34348.93304308646,113,62,303.97285878837573,-0.1677682054717913,-41578.00000000003,0.2478300336054497
D,1,验证期,158161.94861886784,426,199,371.2721798564973,-0.3419376635418028,-104634.68126582017,0.3060051360882867
D,2,验证期,144634.6735551235,319,148,453.4002305803245,-0.31219937367684447,-95408.80000000005,0.30560215056279094
D,3,验证期,105743.25125893236,188,85,562.4641024411296,-0.3108667011486895,-88177.95925716934,0.28365199273946445
D,4,验证期,-5187.826239948183,88,40,-58.952570908502075,-0.1713896020508762,-45907.08526316099,0.26785221923517677
D,5,验证期,7033.400000000045,40,16,175.83500000000112,-0.07007004891207129,-17794.000000000015,0.25394587668019397
D,1,分析期,97641.96662710422,1058,489,92.28919340936127,-0.5962395418580302,-176100.1229307718,0.2953512985435353
D,2,分析期,440958.437604023,946,489,466.1294266427305,-0.5936614898059474,-193382.29901971674,0.32574506236361805
D,3,分析期,263173.24855555844,656,316,401.17873255420494,-0.377578777233354,-114296.35,0.3027086184172945
D,4,分析期,-9185.258847416339,369,184,-24.892300399502272,-0.4099937864862664,-114625.16004437298,0.2795777980606362
D,5,分析期,41382.33304308649,153,78,270.4727649874934,-0.16669863895290665,-41578.00000000003,0.2494201528048832
D,1,全期间,795225.0498081453,1370,660,580.4562407358725,-0.7044389179460452,-210606.23483859643,0.29897018673055104
D,2,全期间,762499.6376040227,1165,605,654.5061266987319,-0.663308533676368,-214147.8999999999,0.32284810028463146
D,3,全期间,332151.92664824845,833,399,398.7418087013787,-0.5101291021861126,-149913.45218619955,0.29387355385873665
D,4,全期间,71965.64115258375,495,247,145.38513364158334,-0.6006468036352556,-164246.20000000007,0.27344888710960163
D,5,全期间,28824.033043086503,226,114,127.53996921719691,-0.34962399909603925,-92485.40000000004,0.26452817952750135
