date,ticker,action,price,shares,amount,commission,pnl_pct,reason
2019-08-15,512400.SH,BUY,0.63629040973111,392900,249998.5019833531,74.99955059500593,0.0,行业买入
2019-08-22,512010.SH,BUY,0.4315285,579100,249898.15435,74.96944630499999,0.0,行业买入
2019-08-22,512480.SH,BUY,0.5631752,443700,249880.83624,74.964250872,0.0,行业买入
2019-08-22,159928.SZ,BUY,0.725,344700,249907.5,74.97224999999999,0.0,行业买入
2019-09-12,159928.SZ,SELL,0.739,344700,254733.3,76.41998999999998,0.019310344827586225,调出候选列表
2019-09-12,512000.SH,BUY,0.4875,522200,254572.5,76.37174999999999,0.0,行业买入
2019-09-19,512400.SH,SELL,0.65782639282971,392900,258459.98974279306,77.5379969228379,0.033846153846167425,调出候选列表
2019-09-19,512980.SH,BUY,0.785,329000,258265.0,77.47949999999999,0.0,行业买入
2019-09-26,512000.SH,SELL,0.463,522200,241778.6,72.53358,-0.050256410256410186,调出候选列表
2019-09-26,512980.SH,SELL,0.771,329000,253659.0,76.09769999999999,-0.017834394904458616,调出候选列表
2019-10-10,512010.SH,SELL,0.448175,579100,259538.1425,77.86144275,0.03857566765578637,调出候选列表
2019-10-10,512480.SH,SELL,0.6130768,443700,272022.17616,81.60665284799998,0.08860759493670885,调出候选列表
2019-10-10,512800.SH,BUY,0.54180472706809,473800,256707.07968486106,77.01212390545831,0.0,行业买入
2019-10-24,512010.SH,BUY,0.4653337,555500,258492.87035,77.547861105,0.0,行业买入
2019-10-31,512010.SH,SELL,0.4819802,555500,267740.0011,80.32200033,0.035773252614199245,调出候选列表
2019-11-07,159928.SZ,BUY,0.76625,338800,259605.5,77.88165,0.0,行业买入
2019-11-07,512010.SH,BUY,0.4965779,522800,259610.92612000002,77.883277836,0.0,行业买入
2019-11-07,512480.SH,BUY,0.6151136,422000,259577.93920000002,77.87338176,0.0,行业买入
2019-11-14,512800.SH,SELL,0.55731344963421,473800,264055.11243668874,79.21653373100662,0.02862419205909031,调出候选列表
2019-11-14,512480.SH,SELL,0.6252976,422000,263875.5872,79.16267615999999,0.01655629139072843,调出候选列表
2019-11-21,512480.SH,BUY,0.6405736,411100,263339.80695999996,79.00194208799998,0.0,行业买入
2019-11-21,512980.SH,BUY,0.764,344600,263274.4,78.98232,0.0,行业买入
2019-11-28,159928.SZ,SELL,0.751,338800,254438.8,76.33164,-0.019902120717781385,调出候选列表
2019-11-28,512010.SH,SELL,0.4873583,522800,254790.91924000002,76.43727577199999,-0.018566271273852488,调出候选列表
2019-11-28,512480.SH,SELL,0.633954,411100,260618.48940000002,78.18554682,-0.010333863275039665,调出候选列表
2019-11-28,512980.SH,SELL,0.748,344600,257760.8,77.32824,-0.02094240837696337,调出候选列表
2019-11-28,512400.SH,BUY,0.62454350985915,411700,257124.56300901205,77.13736890270361,0.0,行业买入
2019-12-05,512480.SH,BUY,0.6690888,385200,257733.00576000003,77.319901728,0.0,行业买入
2019-12-12,512980.SH,BUY,0.777,330200,256565.4,76.96961999999999,0.0,行业买入
2019-12-12,515880.SH,BUY,0.34988924050633,733300,256573.7800632918,76.97213401898753,0.0,行业买入
2019-12-26,515880.SH,SELL,0.35522088607595,733300,260483.47575949412,78.14504272784824,0.015238095238094355,调出候选列表
2019-12-26,512000.SH,BUY,0.4695,554500,260337.74999999997,78.10132499999999,0.0,行业买入
2020-01-23,512400.SH,SELL,0.72243434212548,411700,297426.2186530601,89.22786559591802,0.1567398119122346,调出候选列表
2020-01-23,512000.SH,SELL,0.488,554500,270596.0,81.1788,0.03940362087326947,调出候选列表
2020-01-23,512010.SH,BUY,0.5065658,560400,283879.47432,85.16384229599998,0.0,行业买入
2020-01-23,512660.SH,BUY,0.796,356500,283774.0,85.1322,0.0,行业买入
2020-02-03,512660.SH,STOP_LOSS,0.711,356500,253471.5,76.04145,-0.10678391959799004,"固定止损: 成本盈亏-10.68%, 高点回撤-10.68%"
2020-02-06,512980.SH,SELL,0.849,330200,280339.8,84.10193999999998,0.0926640926640926,调出候选列表
2020-02-06,512010.SH,SELL,0.5032365,560400,282013.73459999997,84.60412037999998,-0.006572295247724935,调出候选列表
2020-02-13,512010.SH,BUY,0.5127122,576500,295578.5833,88.67357498999999,0.0,行业买入
2020-02-13,512980.SH,BUY,0.933,316800,295574.4,88.67232,0.0,行业买入
2020-02-20,512660.SH,BUY,0.855,262200,224181.0,67.2543,0.0,行业买入
2020-02-27,512010.SH,SELL,0.5016999,576500,289229.99235,86.768997705,-0.02147852147852143,调出候选列表
2020-02-27,515880.SH,BUY,0.43652848101266,662200,289069.1601265835,86.72074803797504,0.0,行业买入
2020-03-05,512480.SH,SELL,1.0178908,385200,392091.53616,117.627460848,0.5213089802130897,调出候选列表
2020-03-05,512980.SH,SELL,0.935,316800,296208.0,88.8624,0.002143622722400859,调出候选列表
2020-03-05,512000.SH,BUY,0.5175,584500,302478.75,90.743625,0.0,行业买入
2020-03-05,159928.SZ,BUY,0.77875,388400,302466.5,90.73995,0.0,行业买入
2020-03-12,512660.SH,SELL,0.846,262200,221821.19999999998,66.54635999999999,-0.010526315789473694,调出候选列表
2020-03-13,512000.SH,STOP_LOSS,0.4655,584500,272084.75,81.62542499999999,-0.1004830917874395,"固定止损: 成本盈亏-10.05%, 高点回撤-10.22%"
2020-03-17,159928.SZ,STOP_LOSS,0.7145,388400,277511.8,83.25353999999999,-0.08250401284109153,"固定止损: 成本盈亏-8.25%, 高点回撤-11.76%"
2020-03-18,515880.SH,STOP_LOSS,0.39754082278481,662200,263251.53284810117,78.97545985443034,-0.08931297709924062,"固定止损: 成本盈亏-8.93%, 高点回撤-12.02%"
2020-04-09,159928.SZ,BUY,0.795,351300,279283.5,83.78505,0.0,行业买入
2020-04-09,512010.SH,BUY,0.5188586,538300,279301.58437999996,83.79047531399998,0.0,行业买入
