year,total_return,monthly_win_rate,sharpe,max_drawdown,avg_industry_pct,avg_defense_pct,avg_cash_pct,n_trades,total_commission,scenario,period
2019,0.12222898928491199,0.6,2.3021609599655313,-0.06897501814836136,0.6241099746366274,0.07035218275996967,0.3055378426034027,45,2763.5302402816983,A,研究期
2020,0.10159457594916232,0.5,0.6836488904851543,-0.1512611955649575,0.6319517967882985,0.09059120569081569,0.27745699752088593,132,8875.851475824378,A,研究期
2021,-0.01582056867262116,0.4166666666666667,0.21597538202228192,-0.15427740147191635,0.6495279309400982,0.08330879630760536,0.26716327275229634,146,10961.024817002315,A,研究期
2022,0.030492530108761295,0.5,0.36380830274194464,-0.12427085382668374,0.3736237940176618,0.1561526965095042,0.4702235094728339,88,6961.238580760484,A,研究期
2023,0.03315214424049184,0.3333333333333333,0.28905880176699056,-0.1620396729990533,0.5147102233053716,0.16537631076552056,0.3199134659291079,126,10748.123310276444,A,验证期
2024,0.23498821987990182,0.5,1.1110646494835725,-0.11412801954443295,0.506216194998922,0.1945474314758188,0.29923637352525917,105,9099.428432255441,A,验证期
2019,0.12222898928491199,0.6,2.3021609599655313,-0.06897501814836136,0.6241099746366274,0.07035218275996967,0.3055378426034027,45,2763.5302402816983,A,分析期
2020,0.10159457594916232,0.5,0.6836488904851543,-0.1512611955649575,0.6319517967882985,0.09059120569081569,0.27745699752088593,132,8875.851475824378,A,分析期
2021,-0.01582056867262116,0.4166666666666667,0.21597538202228192,-0.15427740147191635,0.6495279309400982,0.08330879630760536,0.26716327275229634,146,10961.024817002315,A,分析期
2022,0.030492530108761295,0.5,0.36380830274194464,-0.12427085382668374,0.3736237940176618,0.1561526965095042,0.4702235094728339,88,6961.238580760484,A,分析期
2023,0.03315214424049184,0.3333333333333333,0.26455273534527635,-0.1620396729990552,0.5147102233053716,0.16537631076552056,0.3199134659291079,126,10748.123310276444,A,分析期
2024,0.23498821987990182,0.5,1.1110646494835725,-0.11412801954443295,0.506216194998922,0.1945474314758188,0.29923637352525917,105,9099.428432255441,A,分析期
2019,0.09957427638187011,0.6,2.136811834643881,-0.057548482624254466,0.5505157834295359,0.0,0.4494842165704641,32,1986.5260510314913,B,研究期
2020,0.16011387813653033,0.5,1.0085179978865568,-0.13494492780731085,0.5632285668058085,0.0,0.43677143319419154,76,5500.519256299929,B,研究期
2021,-0.02010297661862326,0.4166666666666667,0.19440332244590788,-0.15046868768260593,0.5756981465519362,0.0,0.42430185344806376,103,8182.983491434201,B,研究期
2022,-0.018679705197674923,0.3333333333333333,-0.04032455163422724,-0.12387148692476621,0.3343812665336171,0.0,0.6656187334663828,58,4657.789735061814,B,研究期
