period,regime,a_days,d_days,a_avg_industry_pct,d_avg_industry_pct,a_avg_defense_pct,d_avg_defense_pct,a_avg_cash_pct,d_avg_cash_pct,a_avg_num_positions,d_avg_num_positions,d_industry_minus_a,d_defense_minus_a
研究期,弱牛,165,165,0.6695359341119012,0.723746735602681,0.03731471731702395,0.0,0.2931493485710748,0.27625326439731895,3.515151515151515,2.890909090909091,0.054210801490779836,-0.03731471731702395
研究期,强牛,60,60,0.8478117433480891,0.9008026852009189,0.028939644573019934,0.0,0.12324861207889083,0.099197314799081,4.383333333333334,3.6,0.05299094185282982,-0.028939644573019934
研究期,未知,2,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
研究期,熊市,427,427,0.46084592664272106,0.49797987099186897,0.1391778428024246,0.0,0.3999762305548545,0.5020201290081311,2.990632318501171,1.9672131147540983,0.03713394434914791,-0.1391778428024246
研究期,震荡,169,169,0.6188955740511889,0.6944692128401636,0.11446695470834813,0.0,0.2666374712404632,0.30553078715983645,3.6568047337278107,2.757396449704142,0.07557363878897472,-0.11446695470834813
验证期,弱牛,71,71,0.9335669566852257,0.9384912433945817,0.03561105341967016,0.0,0.030821989895103954,0.061508756605418574,4.830985915492958,3.732394366197183,0.004924286709355963,-0.03561105341967016
验证期,强牛,94,94,0.6760911884459238,0.7596317698037458,0.15450481224986323,0.0,0.16940399930421296,0.24036823019625372,4.212765957446808,3.0851063829787235,0.08354058135782205,-0.15450481224986323
验证期,熊市,274,274,0.37085843905845345,0.42296264498540925,0.21526905462807341,0.0,0.41387250631347317,0.5770373550145907,2.9014598540145986,1.6496350364963503,0.052104205926955804,-0.21526905462807341
验证期,震荡,45,45,0.4009842305269756,0.4872786146049066,0.22759659464793128,0.0,0.37141917482509323,0.5127213853950937,3.111111111111111,1.8888888888888888,0.086294384077931,-0.22759659464793128
观察期,弱牛,79,79,0.8923697923403375,0.9347191657814113,0.06871543370869221,0.0,0.03891477395097077,0.06528083421858882,4.810126582278481,3.7341772151898733,0.04234937344107381,-0.06871543370869221
观察期,强牛,61,61,0.8863012900440265,0.8900624697638894,0.028364301946764616,0.0,0.08533440800920884,0.10993753023611061,4.639344262295082,3.6065573770491803,0.003761179719862895,-0.028364301946764616
观察期,熊市,125,125,0.5503276810775342,0.5935868937869903,0.13725205281517208,0.0,0.31242026610729373,0.40641310621300936,3.528,2.448,0.043259212709456096,-0.13725205281517208
观察期,震荡,87,87,0.47307888787476104,0.526223845730876,0.17148640176219576,0.0,0.3554347103630431,0.473776154269124,3.2413793103448274,2.1264367816091956,0.05314495785611495,-0.17148640176219576
