period,year,regime,a_days,d_days,a_return,d_return,d_minus_a
研究期,2019,强牛,7,7,0.028769372570866203,0.03795210905014068,0.009182736479274478
研究期,2019,未知,2,2,0.0,0.0,0.0
研究期,2019,熊市,15,15,0.0636986877393293,0.05844985157856364,-0.0052488361607656575
研究期,2019,震荡,71,71,0.025521649982318095,0.02341758626528523,-0.002104063717032867
研究期,2020,弱牛,87,87,0.11934566451801709,0.16949338580651996,0.05014772128850287
研究期,2020,强牛,33,33,0.05012996534523961,0.06708273683522425,0.01695277148998464
研究期,2020,熊市,75,75,0.03461091549221851,0.043822557972832854,0.009211642480614346
研究期,2020,震荡,48,48,-0.0694789800839285,-0.05195825477593541,0.01752072530799309
研究期,2021,弱牛,43,43,-0.008366159270600249,-0.008836155180036998,-0.00046999590943674896
研究期,2021,强牛,20,20,-0.061682980417512634,-0.07658066996951995,-0.01489768955200732
研究期,2021,熊市,140,140,0.03153622603817907,0.03449778485476873,0.00296155881658966
研究期,2021,震荡,40,40,0.06519501028800856,0.07415292613701419,0.008957915849005627
研究期,2022,弱牛,35,35,-0.0536588321928011,-0.0748279111486827,-0.021169078955881604
研究期,2022,熊市,197,197,0.08609736609545804,0.054867851703708004,-0.031229514391750035
研究期,2022,震荡,10,10,0.009308329641489532,0.010286205609649768,0.0009778759681602356
验证期,2023,弱牛,14,14,-0.06291965467707505,-0.06069759744372849,0.002222057233346564
验证期,2023,强牛,57,57,0.16807349259511506,0.18583670193697932,0.01776320934186426
验证期,2023,熊市,166,166,-0.06609865786983937,-0.05650285837742586,0.009595799492413515
验证期,2023,震荡,5,5,0.006878756215710213,0.008162698086945808,0.0012839418712355943
验证期,2024,弱牛,57,57,0.09480402213791361,0.09206254480872089,-0.002741477329192721
验证期,2024,强牛,37,37,-0.04082071145495303,-0.05666817932087187,-0.01584746786591884
验证期,2024,熊市,108,108,0.20128560168808307,0.18759099862507767,-0.013694603063005406
验证期,2024,震荡,40,40,-0.020405916641198063,-0.020547067656025098,-0.00014115101482703452
观察期,2025,弱牛,42,42,0.09181607533225322,0.1037785411100467,0.011962465777793474
观察期,2025,强牛,51,51,0.16782003170714188,0.19889640829958077,0.031076376592438892
观察期,2025,熊市,103,103,0.08352342532398183,0.08248047893020738,-0.0010429463937744465
观察期,2025,震荡,47,47,-0.018668483212166298,-0.029287634411087837,-0.01061915119892154
观察期,2026,弱牛,37,37,0.11261444364768147,0.1383020889735036,0.025687645325822128
观察期,2026,强牛,10,10,-0.03559204885150746,-0.042527161328385854,-0.006935112476878391
观察期,2026,熊市,22,22,0.0072477155386208025,0.013447452751391475,0.006199737212770673
观察期,2026,震荡,40,40,0.09999275197474233,0.11630871255723307,0.01631596058249074
