period,scenario,a_total_return,sc_total_return,a_sharpe,sc_sharpe,a_volatility,sc_volatility,theor_ret_at_a_vol,theor_ret_at_a_dd
全期,B,1.761288065599461,1.5296785792682428,0.910322085765912,0.9143470243555281,0.1891704794422959,0.16999872942627933,1.7021893705286195,1.7021893705286195
研究期,B,0.34693578660280733,0.316131061224711,0.5998321637880757,0.6036595799007985,0.17891036950821432,0.16087757031158154,0.35156625542762376,0.35156625542762376
验证期,B,0.27671183214634776,0.22499877139614877,0.7412259799096326,0.6884690402826219,0.194028703701332,0.17191968640323377,0.2539338039856145,0.2539338039856145
分析期,B,0.7131708200608415,0.6063610539118165,0.6546313108788602,0.6363045283285217,0.18458286975770355,0.1649886206803948,0.6783732294917496,0.6783732294917496
全期,C,1.761288065599461,1.8091113900402225,0.910322085765912,0.9953163679813144,0.1891704794422959,0.17262817915305737,1.9824716375823868,1.9824716375823868
研究期,C,0.34693578660280733,0.3494141873745813,0.5998321637880757,0.6510153170648156,0.17891036950821432,0.16093319804578596,0.3884457783335258,0.3884457783335258
验证期,C,0.27671183214634776,0.25062373818227335,0.7412259799096326,0.751451623120626,0.194028703701332,0.17190024719600847,0.28288614955184116,0.28288614955184116
分析期,C,0.7131708200608415,0.681518002329029,0.6546313108788602,0.6896762101685702,0.18458286975770355,0.16501567804495015,0.7623308897180218,0.7623308897180218
全期,D,1.761288065599461,2.030842456114171,0.910322085765912,0.9277593601954853,0.1891704794422959,0.20397664413554686,1.883428579399486,1.883428579399486
研究期,D,0.34693578660280733,0.392372948763247,0.5998321637880757,0.620304884533024,0.17891036950821432,0.19385121697160546,0.3621312795706757,0.3621312795706757
验证期,D,0.27671183214634776,0.27518062188633063,0.7412259799096326,0.7013890435603722,0.194028703701332,0.2074254748304878,0.25740782028805714,0.25740782028805714
分析期,D,0.7131708200608415,0.7677448304023737,0.6546313108788602,0.6515218509159837,0.18458286975770355,0.19890851007765203,0.7124508849922423,0.7124508849922423
